0   0   (0.1875,0)   (-3.4694469519536142e-18,0)   (-6.9388939039072284e-18,0)   (-2.0816681711721685e-17,0)   (0.37500000000000006,0)   (4.3368086899420177e-18,0)   (-8.6736173798840355e-19,0)   (4.3368086899420177e-18,0)   
0.5   0   (0.19831235513673393,0)   (-0.011784350574106678,0)   (-0.011784350574106692,0)   (0.012801753122216441,0)   (0.39662471027346741,0)   (-0.043545513043892904,0)   (-0.043545513043893043,0)   (0.030558071618694123,0)   
1   0   (0.20205584992897421,0)   (-0.035707123398643251,0)   (-0.035707123398643278,0)   (0.032680309794278134,0)   (0.40411169985794804,0)   (-0.08865186357732506,0)   (-0.088651863577325324,0)   (0.087967321212319649,0)   
2   0   (0.20442851675560497,0)   (-0.048977142890632243,0)   (-0.048977142890632291,0)   (0.040945977199343155,0)   (0.40885703351120956,0)   (-0.10759228925920798,0)   (-0.10759228925920827,0)   (0.11615684933490342,0)   
10   0   (0.20462784426545355,0)   (-0.050128364227695323,0)   (-0.050128364227695371,0)   (0.041257768384729818,0)   (0.40925568853090649,0)   (-0.10876619621280335,0)   (-0.10876619621280366,0)   (0.11799792014612286,0)   
100   0   (0.20462784426568642,0)   (-0.050128364228937995,0)   (-0.050128364228938044,0)   (0.041257768384379175,0)   (0.40925568853137234,0)   (-0.1087661962135812,0)   (-0.10876619621358151,0)   (0.11799792014699359,0)   
200   0   (0.20462784426568639,0)   (-0.050128364228938009,0)   (-0.050128364228938051,0)   (0.041257768384379188,0)   (0.40925568853137234,0)   (-0.10876619621358122,0)   (-0.10876619621358152,0)   (0.11799792014699358,0)   
500   0   (0.20462784426568642,0)   (-0.050128364228938002,0)   (-0.050128364228938051,0)   (0.041257768384379181,0)   (0.40925568853137234,0)   (-0.10876619621358122,0)   (-0.10876619621358151,0)   (0.1179979201469936,0)   
1000   0   (0.20462784426568639,0)   (-0.050128364228938002,0)   (-0.050128364228938051,0)   (0.041257768384379181,0)   (0.40925568853137234,0)   (-0.1087661962135812,0)   (-0.10876619621358151,0)   (0.11799792014699358,0)   
10000   0   (0.20462784426568642,0)   (-0.050128364228938002,0)   (-0.050128364228938044,0)   (0.041257768384379175,0)   (0.4092556885313724,0)   (-0.1087661962135812,0)   (-0.10876619621358151,0)   (0.11799792014699362,0)   
