0   0   (0.1875,0)   (-1.0408340855860843e-17,0)   (0,0)   (-8.6736173798840355e-18,0)   (0.37500000000000006,0)   (2.6020852139652106e-18,0)   (1.0408340855860843e-17,0)   (-8.6736173798840355e-18,0)   
0.5   0   (0.19490022391172432,0)   (0.0072056942502528214,0)   (0.0072056942502528344,0)   (0.0042492662943935978,0)   (0.38980044782344864,0)   (-0.013588701512794892,0)   (-0.013588701512794867,0)   (0.0052225105860719441,0)   
1   0   (0.19715258177265138,0)   (0.0009207077286897651,0)   (0.00092070772868979166,0)   (0.013485495680762726,0)   (0.39430516354530276,0)   (-0.041048128120420559,0)   (-0.041048128120420517,0)   (0.030386092769087589,0)   
2   0   (0.19984355472571658,0)   (-0.020261820074180269,0)   (-0.020261820074180228,0)   (0.027529500127329874,0)   (0.39968710945143332,0)   (-0.082780681214141894,0)   (-0.082780681214141824,0)   (0.087696981805933633,0)   
10   0   (0.20457182798811696,0)   (-0.04713443943203547,0)   (-0.047134439432035408,0)   (0.029510617755147052,0)   (0.40914365597623414,0)   (-0.11057063964225033,0)   (-0.11057063964225027,0)   (0.12963267520041483,0)   
100   0   (0.20457756296370519,0)   (-0.047163808031548571,0)   (-0.047163808031548508,0)   (0.029500106198783654,0)   (0.40915512592741049,0)   (-0.1105895515933363,0)   (-0.11058955159333621,0)   (0.12965501972862678,0)   
200   0   (0.20457756296370519,0)   (-0.047163808031548571,0)   (-0.047163808031548515,0)   (0.029500106198783651,0)   (0.40915512592741043,0)   (-0.1105895515933363,0)   (-0.11058955159333621,0)   (0.12965501972862681,0)   
500   0   (0.20457756296370519,0)   (-0.047163808031548564,0)   (-0.047163808031548508,0)   (0.029500106198783651,0)   (0.40915512592741049,0)   (-0.11058955159333629,0)   (-0.11058955159333621,0)   (0.12965501972862681,0)   
1000   0   (0.20457756296370519,0)   (-0.047163808031548564,0)   (-0.047163808031548501,0)   (0.029500106198783651,0)   (0.40915512592741049,0)   (-0.1105895515933363,0)   (-0.11058955159333622,0)   (0.12965501972862681,0)   
10000   0   (0.20457756296370516,0)   (-0.047163808031548564,0)   (-0.047163808031548508,0)   (0.029500106198783651,0)   (0.40915512592741043,0)   (-0.1105895515933363,0)   (-0.11058955159333622,0)   (0.12965501972862681,0)   
