0   0   (0.16666666666666666,0)   (9.2518585385429707e-18,0)   (-9.2518585385429707e-18,0)   (0.33333333333333343,0)   (-1.1564823173178714e-17,0)   (4.6259292692714853e-18,0)   
0.5   0   (0.16666666666666663,0)   (-0.023770094818585868,0)   (-0.023770094818585896,0)   (0.33333333333333331,0)   (-0.060715531354364992,0)   (-0.060715531354365034,0)   
1   0   (0.16666666666666663,0)   (-0.065174852560403063,0)   (-0.065174852560403077,0)   (0.3333333333333332,0)   (-0.13749451057115178,0)   (-0.13749451057115183,0)   
2   0   (0.16666666666666655,0)   (-0.082664667673668354,0)   (-0.082664667673668368,0)   (0.33333333333333315,0)   (-0.16575201265779357,0)   (-0.16575201265779368,0)   
10   0   (0.16666666666666666,0)   (-0.083333333333332649,0)   (-0.083333333333332663,0)   (0.33333333333333337,0)   (-0.16666666666666596,0)   (-0.16666666666666602,0)   
100   0   (0.16666666666666666,0)   (-0.083333333333333315,0)   (-0.083333333333333329,0)   (0.33333333333333326,0)   (-0.1666666666666666,0)   (-0.16666666666666669,0)   
200   0   (0.16666666666666666,0)   (-0.083333333333333315,0)   (-0.083333333333333329,0)   (0.33333333333333326,0)   (-0.1666666666666666,0)   (-0.16666666666666669,0)   
500   0   (0.16666666666666666,0)   (-0.083333333333333315,0)   (-0.083333333333333329,0)   (0.33333333333333326,0)   (-0.1666666666666666,0)   (-0.16666666666666669,0)   
1000   0   (0.16666666666666666,0)   (-0.083333333333333315,0)   (-0.083333333333333329,0)   (0.33333333333333326,0)   (-0.1666666666666666,0)   (-0.16666666666666669,0)   
10000   0   (0.16666666666666666,0)   (-0.083333333333333315,0)   (-0.083333333333333329,0)   (0.33333333333333326,0)   (-0.1666666666666666,0)   (-0.16666666666666669,0)   
