0   0   (0.16666666666666663,0)   (1.3877787807814457e-17,0)   (-1.3877787807814457e-17,0)   (0.33333333333333331,0)   (1.6190752442450201e-17,0)   (-6.9388939039072284e-18,0)   
0.5   0   (0.1666666666666666,0)   (0.009705014594797251,0)   (0.0097050145947972354,0)   (0.33333333333333326,0)   (-0.0011699805164381491,0)   (-0.001169980516438183,0)   
1   0   (0.16666666666666663,0)   (0.016318974019351961,0)   (0.016318974019351937,0)   (0.33333333333333326,0)   (-0.006572179593471051,0)   (-0.0065721795934710961,0)   
2   0   (0.16666666666666663,0)   (0.020641599446366201,0)   (0.020641599446366191,0)   (0.33333333333333326,0)   (-0.024441493720132958,0)   (-0.024441493720133007,0)   
10   0   (0.1666666666666666,0)   (-0.042170829789535277,0)   (-0.042170829789535284,0)   (0.3333333333333332,0)   (-0.12522681235564076,0)   (-0.12522681235564082,0)   
100   0   (0.16666666666666669,0)   (-0.083333333324074693,0)   (-0.083333333324074693,0)   (0.33333333333333326,0)   (-0.16666666665740798,0)   (-0.16666666665740809,0)   
200   0   (0.16666666666666663,0)   (-0.083333333333333315,0)   (-0.083333333333333315,0)   (0.33333333333333315,0)   (-0.16666666666666655,0)   (-0.16666666666666663,0)   
500   0   (0.16666666666666663,0)   (-0.083333333333333315,0)   (-0.083333333333333315,0)   (0.33333333333333315,0)   (-0.16666666666666655,0)   (-0.16666666666666663,0)   
1000   0   (0.16666666666666663,0)   (-0.083333333333333315,0)   (-0.083333333333333315,0)   (0.33333333333333315,0)   (-0.16666666666666655,0)   (-0.16666666666666663,0)   
10000   0   (0.16666666666666663,0)   (-0.083333333333333315,0)   (-0.083333333333333315,0)   (0.33333333333333315,0)   (-0.16666666666666655,0)   (-0.16666666666666663,0)   
