0   0   (0.16666666666666666,0)   (4.6259292692714853e-18,0)   (-2.3129646346357429e-17,0)   (0.33333333333333331,0)   (-9.2518585385429707e-18,0)   (6.9388939039072284e-18,0)   
0.5   0   (0.16666666666666666,0)   (0.01031733847124983,0)   (0.010317338471249812,0)   (0.33333333333333337,0)   (-8.0778325511042293e-05,0)   (-8.0778325510994994e-05,0)   
1   0   (0.16666666666666669,0)   (0.020078025619331537,0)   (0.020078025619331516,0)   (0.33333333333333337,0)   (-0.00053314794666207619,0)   (-0.00053314794666203867,0)   
2   0   (0.16666666666666663,0)   (0.036579465153184845,0)   (0.036579465153184831,0)   (0.33333333333333337,0)   (-0.0026404148836244325,0)   (-0.0026404148836244022,0)   
10   0   (0.16666666666666657,0)   (0.07735429808697096,0)   (0.077354298086970932,0)   (0.33333333333333326,0)   (-0.0048963305024437957,0)   (-0.0048963305024437671,0)   
100   0   (0.16666666666666616,0)   (0.08333333324745168,0)   (0.083333333247451666,0)   (0.33333333333333237,0)   (-8.5881426801169816e-11,0)   (-8.5881401029412778e-11,0)   
200   0   (0.16666666666666571,0)   (0.083333333333332857,0)   (0.083333333333332857,0)   (0.33333333333333148,0)   (-2.763102807368859e-17,0)   (1.6101759340361826e-18,0)   
500   0   (0.16666666666666433,0)   (0.083333333333332163,0)   (0.083333333333332163,0)   (0.33333333333332876,0)   (-2.7631028073688649e-17,0)   (1.6101759340358088e-18,0)   
1000   0   (0.16666666666666199,0)   (0.083333333333330997,0)   (0.083333333333330997,0)   (0.33333333333332399,0)   (-2.0692134169781137e-17,0)   (8.5490698379427999e-18,0)   
10000   0   (0.16666666666662036,0)   (0.083333333333310181,0)   (0.083333333333310181,0)   (0.33333333333324072,0)   (-2.0692134169779467e-17,0)   (8.5490698379350623e-18,0)   
