0   0   (0.1875,0)   (-6.9388939039072284e-18,0)   (0,0)   (-8.6736173798840355e-18,0)   (0.37499999999999994,0)   (-5.2041704279304213e-18,0)   (-4.3368086899420177e-18,0)   (-8.6736173798840355e-19,0)   
0.5   0   (0.19779811746700032,0)   (-0.0079112816853141674,0)   (-0.0079112816853141501,0)   (0.010489529708063971,0)   (0.3955962349340007,0)   (-0.037378066818499429,0)   (-0.037378066818499339,0)   (0.024347633122114194,0)   
1   0   (0.20126093644525411,0)   (-0.030715494919718974,0)   (-0.030715494919718984,0)   (0.029243461704592834,0)   (0.40252187289050823,0)   (-0.082280130484100045,0)   (-0.082280130484099892,0)   (0.07972733160155801,0)   
2   0   (0.20422755381505067,0)   (-0.04759138267533787,0)   (-0.047591382675337898,0)   (0.039436842577865498,0)   (0.40845510763010145,0)   (-0.10673773692342085,0)   (-0.10673773692342062,0)   (0.11577479357052521,0)   
10   0   (0.20461513014290914,0)   (-0.049800325878972145,0)   (-0.049800325878972172,0)   (0.039971043365663275,0)   (0.40923026028581844,0)   (-0.10898759442808836,0)   (-0.10898759442808814,0)   (0.1192592169189743,0)   
100   0   (0.20461513014943239,0)   (-0.049800325913600618,0)   (-0.049800325913600639,0)   (0.039971043355537965,0)   (0.409230260298865,0)   (-0.10898759444981328,0)   (-0.10898759444981303,0)   (0.11925921694332688,0)   
200   0   (0.20461513014943242,0)   (-0.049800325913600618,0)   (-0.049800325913600639,0)   (0.039971043355537958,0)   (0.40923026029886511,0)   (-0.10898759444981326,0)   (-0.10898759444981303,0)   (0.11925921694332689,0)   
500   0   (0.20461513014943242,0)   (-0.049800325913600618,0)   (-0.049800325913600646,0)   (0.039971043355537965,0)   (0.40923026029886495,0)   (-0.10898759444981326,0)   (-0.10898759444981301,0)   (0.11925921694332686,0)   
1000   0   (0.20461513014943239,0)   (-0.049800325913600618,0)   (-0.049800325913600646,0)   (0.039971043355537965,0)   (0.409230260298865,0)   (-0.10898759444981326,0)   (-0.10898759444981303,0)   (0.11925921694332692,0)   
10000   0   (0.20461513014943239,0)   (-0.049800325913600618,0)   (-0.049800325913600646,0)   (0.039971043355537965,0)   (0.40923026029886506,0)   (-0.10898759444981326,0)   (-0.10898759444981303,0)   (0.11925921694332689,0)   
