0   0   (0.16666666666666666,0)   (9.2518585385429707e-18,0)   (-1.3877787807814457e-17,0)   (0.33333333333333331,0)   (-2.3129646346357427e-18,0)   (1.8503717077085941e-17,0)   
0.5   0   (0.16666666666666663,0)   (-0.039045980569573951,0)   (-0.039045980569573951,0)   (0.33333333333333326,0)   (-0.087888288890331942,0)   (-0.087888288890331887,0)   
1   0   (0.1666666666666666,0)   (-0.076332755479094308,0)   (-0.07633275547909428,0)   (0.33333333333333337,0)   (-0.15542002370812644,0)   (-0.15542002370812638,0)   
2   0   (0.16666666666666677,0)   (-0.08325110818619795,0)   (-0.083251108186197922,0)   (0.33333333333333354,0)   (-0.16655419257835291,0)   (-0.16655419257835288,0)   
10   0   (0.16666666666666669,0)   (-0.083333333333333356,0)   (-0.083333333333333329,0)   (0.33333333333333343,0)   (-0.16666666666666669,0)   (-0.16666666666666666,0)   
100   0   (0.16666666666666669,0)   (-0.083333333333333356,0)   (-0.083333333333333329,0)   (0.33333333333333343,0)   (-0.16666666666666669,0)   (-0.16666666666666669,0)   
200   0   (0.16666666666666669,0)   (-0.083333333333333356,0)   (-0.083333333333333329,0)   (0.33333333333333343,0)   (-0.16666666666666669,0)   (-0.16666666666666669,0)   
500   0   (0.16666666666666669,0)   (-0.083333333333333356,0)   (-0.083333333333333329,0)   (0.33333333333333343,0)   (-0.16666666666666669,0)   (-0.16666666666666669,0)   
1000   0   (0.16666666666666669,0)   (-0.083333333333333356,0)   (-0.083333333333333329,0)   (0.33333333333333343,0)   (-0.16666666666666669,0)   (-0.16666666666666669,0)   
10000   0   (0.16666666666666669,0)   (-0.083333333333333356,0)   (-0.083333333333333329,0)   (0.33333333333333343,0)   (-0.16666666666666669,0)   (-0.16666666666666669,0)   
