0   0   (0.22727272727272718,0)   (-6.3080853671883896e-19,0)   (2.7597873481449202e-18,0)   (1.8608851833205748e-17,0)   (2.8386384152347754e-18,0)   (1.4508596344533295e-17,0)   (6.1898087665536074e-18,0)   (7.2542981722666476e-18,0)   (2.4049575462405736e-18,0)   (2.996340549414485e-18,0)   (5.99268109882897e-18,0)   (0.45454545454543943,0)   (3.398450190374663e-17,0)   (-3.1638374645842626e-17,0)   (3.5279692283093656e-17,0)   (9.1270110156507015e-18,0)   (2.8844089955845897e-17,0)   (-6.7510065956071834e-18,0)   (-4.5099114231627145e-18,0)   (-2.0328790734103208e-18,0)   (-9.8687038654646476e-19,0)   (7.8235043128215376e-19,0)   
0.5   0   (0.24550540632498877,0)   (0.013814267923991244,0)   (0.018618603538047975,0)   (0.0072867941200904654,0)   (-0.0029352831557726464,0)   (0.0040528701390300792,0)   (-0.0014827729427129704,0)   (0.00091889525058301091,0)   (-0.00024996274416011396,0)   (0.00012463143787673402,0)   (-2.6813190929486701e-05,0)   (0.49101081264690982,0)   (-0.026500517029403675,0)   (-0.0098195986985909253,0)   (0.013942801186578591,0)   (-0.0109901965766442,0)   (0.0036122517462775527,0)   (-0.00064742873254495918,0)   (5.5676463672227417e-05,0)   (-4.5385478174865111e-06,0)   (6.24589015757245e-07,0)   (-2.1199073113526604e-07,0)   
1   0   (0.24617976280165357,0)   (0.030112052385904808,0)   (0.039209897493973002,0)   (0.0092443251527943495,0)   (-0.0021660545196130541,0)   (0.00761142739625284,0)   (-0.0035369174325306624,0)   (0.003118249883389961,0)   (-0.00077172859032445529,0)   (0.00065017843002427862,0)   (-6.2244230936973601e-05,0)   (0.49235952560097851,0)   (-0.042656394685349396,0)   (-0.0087327499563855104,0)   (0.016090896853331524,0)   (-0.015282123154340322,0)   (0.0070032216735972271,0)   (-0.0012420192500975705,0)   (-0.00083920553074727695,0)   (0.0005078691332281208,0)   (-0.00010971003011739262,0)   (1.1823042208210705e-05,0)   
2   0   (0.24641483469747705,0)   (0.053259147632945696,0)   (0.067785531051252249,0)   (0.010154932537609814,0)   (-0.00034153651136184217,0)   (0.010877535018325947,0)   (-0.007778236746332403,0)   (0.0093506808654020591,0)   (-0.0027766830135723241,0)   (0.0037014544098552316,0)   (-9.9757991711298125e-05,0)   (0.49282966939405815,0)   (-0.066080497517481379,0)   (-0.0047424163016356654,0)   (0.018555913138557482,0)   (-0.018614360837363179,0)   (0.012319606240068755,0)   (-0.0080408890013074167,0)   (0.0017595967639264876,0)   (0.0006418013639456579,0)   (-0.00056048394410150235,0)   (0.00010827812219136232,0)   
10   0   (0.24640415867194301,0)   (0.070423002808393823,0)   (0.097111899383037867,0)   (-0.0018849157725518858,0)   (-0.0019241455023412228,0)   (0.012863477636336171,0)   (-0.016772475926089048,0)   (0.021513904811439281,0)   (-0.0049834926399915883,0)   (0.021636514815796887,0)   (0.012702822080298984,0)   (0.49280831734375324,0)   (-0.11080391520673899,0)   (0.022159366977595126,0)   (0.0011734390321155651,0)   (-0.0089743732397961091,0)   (0.012999307936193756,0)   (-0.031108467672377429,0)   (0.046745195234045654,0)   (-0.04518496501182262,0)   (0.022037696186174127,0)   (-0.0067828695407660252,0)   
100   0   (0.24658679859607413,0)   (0.12105559011664335,0)   (0.095265424352308864,0)   (0.023912868098264019,0)   (-0.011641890574232462,0)   (0.020444394335846969,0)   (-0.01366896457151812,0)   (0.010623859830371295,0)   (0.062513363503178515,0)   (0.10930790276076648,0)   (0.17835180165646081,0)   (0.49317359719214499,0)   (-0.07179707607975308,0)   (0.019646594754611668,0)   (-0.00055801340207270954,0)   (-0.00092797526905327699,0)   (0.0060884409468195929,0)   (-0.034349847163059853,0)   (0.076742117442743812,0)   (-0.066930943153184624,0)   (0.029463834077615051,0)   (-0.0059344289525217258,0)   
200   0   (0.2466110837764327,0)   (0.12751848352341527,0)   (0.096263644954682107,0)   (0.028592265279527559,0)   (-0.01312093421132733,0)   (0.021767526959279093,0)   (-0.013461149532229813,0)   (0.0095778261450437559,0)   (0.072920613871223949,0)   (0.12049533445202489,0)   (0.19851163313952194,0)   (0.49322216755286602,0)   (-0.066063294349881077,0)   (0.018345918937627485,0)   (0.00047108775952056826,0)   (-0.0013909388646644693,0)   (0.0067078617252851547,0)   (-0.03622034072886212,0)   (0.079668987524358872,0)   (-0.063200560638718539,0)   (0.01783472988212273,0)   (0.0041696657679473302,0)   
500   0   (0.24661320608745871,0)   (0.12808121747582166,0)   (0.096360289225791859,0)   (0.02899596436417947,0)   (-0.013247488720651183,0)   (0.021880933904064009,0)   (-0.013443439980361316,0)   (0.0094890145549367949,0)   (0.073817640430933404,0)   (0.1214633961853626,0)   (0.20022765931725467,0)   (0.49322641217491586,0)   (-0.06556179146100069,0)   (0.018225150829204669,0)   (0.00057078153837313212,0)   (-0.0014436244141574155,0)   (0.0067735958049613583,0)   (-0.036397356253284018,0)   (0.079931907919126827,0)   (-0.062846935385217642,0)   (0.016687673266007369,0)   (0.0051892742525017979,0)   
1000   0   (0.24661320714781762,0)   (0.12808149853397119,0)   (0.096360337821860501,0)   (0.028996165755631881,0)   (-0.013247551815983645,0)   (0.021880990447598607,0)   (-0.013443431140981912,0)   (0.0094889702887760111,0)   (0.073818087874187463,0)   (0.12146387918797272,0)   (0.20022851460776142,0)   (0.4932264142956343,0)   (-0.06556154092170767,0)   (0.018225090241295597,0)   (0.00057083169569281515,0)   (-0.001443651159499067,0)   (0.0067736290331680098,0)   (-0.03639744510468277,0)   (0.079932039470189134,0)   (-0.062846757884949672,0)   (0.016687095853872177,0)   (0.0051897884272886002,0)   
10000   0   (0.24661320714782095,0)   (0.12808149853485087,0)   (0.096360337822012615,0)   (0.028996165756262231,0)   (-0.013247551816181131,0)   (0.02188099044777559,0)   (-0.013443431140954244,0)   (0.0094889702886374605,0)   (0.07381808787558794,0)   (0.12146387918948451,0)   (0.20022851461043845,0)   (0.49322641429564279,0)   (-0.065561540920923506,0)   (0.018225090241105898,0)   (0.00057083169584980329,0)   (-0.0014436511595827797,0)   (0.0067736290332720151,0)   (-0.036397445104960874,0)   (0.079932039470600957,0)   (-0.062846757884394089,0)   (0.016687095852064775,0)   (0.0051897884288979214,0)   
