0   0   (0.21428571428571427,0)   (-4.9563527885051632e-18,0)   (8.4257997404587767e-18,0)   (-6.4432586250567123e-18,0)   (-4.9563527885051629e-19,0)   (4.4607175096546471e-18,0)   (-9.9127055770103257e-19,0)   (0.42857142857142894,0)   (-7.062802723619857e-18,0)   (5.5758968870683089e-19,0)   (2.1684043449710089e-18,0)   (2.4781763942525814e-19,0)   (-1.827655090761279e-18,0)   (-4.863421173720691e-18,0)   
0.5   0   (0.23141320610485716,0)   (0.010509887059794353,0)   (0.009929996913643907,0)   (0.0065103377576364585,0)   (-8.9634691365490617e-05,0)   (0.0017718868720263856,0)   (-7.4023531763012088e-05,0)   (0.46282641220971293,0)   (-0.024628955975036518,0)   (-0.018678479851388274,0)   (0.013544412133917352,0)   (-0.0044536871568365962,0)   (0.00094326747411584155,0)   (-0.00019268957498210323,0)   
1   0   (0.2345396568399496,0)   (0.017032114443931604,0)   (0.01438781926680755,0)   (0.012018703651815054,0)   (-0.0028296943354060747,0)   (0.0074230475995892232,0)   (-0.0003293368925091438,0)   (0.46907931367989875,0)   (-0.046759510380047858,0)   (-0.030199330060237006,0)   (0.034415222566377128,0)   (-0.017101213621111194,0)   (0.0038020991480279286,0)   (-0.0008246798396314704,0)   
2   0   (0.23603750969898271,0)   (0.033212076425410561,0)   (0.023203527882391585,0)   (0.013622155510409165,0)   (-0.0027634605078416556,0)   (0.020069011358474272,0)   (0.0047775947176693419,0)   (0.47207501939796237,0)   (-0.068268009670494692,0)   (-0.033386447107237885,0)   (0.0519620784339902,0)   (-0.035422394079830333,0)   (0.005265642627414472,0)   (0.0017790266250052825,0)   
10   0   (0.23641619432298724,0)   (0.09771241843926888,0)   (0.05043968514475905,0)   (0.024729744883778326,0)   (0.024711467506937923,0)   (0.084667681616493226,0)   (0.1032175426233891,0)   (0.47283238864597343,0)   (-0.076739049289025654,0)   (-0.02681899268211696,0)   (0.065879348245184849,0)   (-0.044313929296231028,0)   (0.0089916655956915961,0)   (-0.0059631503414210993,0)   
100   0   (0.23641504384122991,0)   (0.15123920796748094,0)   (0.067474019359352655,0)   (0.042250316495115597,0)   (0.056532282974684461,0)   (0.13540000057560631,0)   (0.19030491021088569,0)   (0.47283008768245982,0)   (-0.030085520392519622,0)   (-0.049097319595728793,0)   (0.077322474909526581,0)   (-0.0087642432181580278,0)   (-0.037832183648332463,0)   (0.018150669609430539,0)   
200   0   (0.23641504170352046,0)   (0.15124005789255124,0)   (0.067474414358678278,0)   (0.042250611553408139,0)   (0.056532951238379162,0)   (0.13540105162955363,0)   (0.19030613277187261,0)   (0.47283008340704091,0)   (-0.030084642554993865,0)   (-0.049098007584140124,0)   (0.077322851142382271,0)   (-0.0087632852324379552,0)   (-0.037833857829756033,0)   (0.018151906047930075,0)   
500   0   (0.23641504170350475,0)   (0.15124005789862635,0)   (0.06747441436153144,0)   (0.042250611555529477,0)   (0.056532951243197231,0)   (0.13540105163714369,0)   (0.19030613278062652,0)   (0.47283008340700955,0)   (-0.030084642548702974,0)   (-0.049098007589097506,0)   (0.077322851145084179,0)   (-0.0087632852255123996,0)   (-0.037833857841844606,0)   (0.018151906056791567,0)   
1000   0   (0.23641504170350477,0)   (0.15124005789862635,0)   (0.067474414361531454,0)   (0.04225061155552947,0)   (0.056532951243197238,0)   (0.13540105163714369,0)   (0.1903061327806265,0)   (0.47283008340700966,0)   (-0.030084642548702977,0)   (-0.049098007589097506,0)   (0.077322851145084193,0)   (-0.0087632852255123978,0)   (-0.037833857841844606,0)   (0.018151906056791567,0)   
10000   0   (0.23641504170350477,0)   (0.15124005789862635,0)   (0.06747441436153144,0)   (0.042250611555529477,0)   (0.056532951243197238,0)   (0.13540105163714369,0)   (0.19030613278062652,0)   (0.4728300834070096,0)   (-0.030084642548702974,0)   (-0.049098007589097506,0)   (0.077322851145084193,0)   (-0.0087632852255123978,0)   (-0.037833857841844599,0)   (0.018151906056791563,0)   
