0   0   (0.21874999999999992,0)   (3.903127820947816e-18,0)   (6.0715321659188248e-18,0)   (4.3368086899420177e-18,0)   (3.4694469519536142e-18,0)   (-2.3852447794681098e-18,0)   (-1.7347234759768071e-18,0)   (1.7347234759768071e-18,0)   (0.43750000000000167,0)   (-1.2739375526704677e-18,0)   (-1.8898999119137949e-17,0)   (4.7569370317801507e-18,0)   (1.8905775382715984e-18,0)   (2.1819568721270777e-18,0)   (-2.1684043449710089e-19,0)   (1.3755815063409838e-18,0)   
0.5   0   (0.23746991092056391,0)   (0.0095355407582803173,0)   (0.010357227725629295,0)   (0.0083348618324653751,0)   (-0.0016417195651176309,0)   (0.0030610003247371555,0)   (-0.00043927390952978754,0)   (0.00057101129522489852,0)   (0.47493982184112743,0)   (-0.028648845553928572,0)   (-0.019009367617672978,0)   (0.018526696669216521,0)   (-0.0079325241940000572,0)   (0.0021756900982102556,0)   (-0.00047548885100871888,0)   (0.00010623437583515526,0)   
1   0   (0.23971231377852292,0)   (0.02161809219964491,0)   (0.021546987107450632,0)   (0.012301113007079771,0)   (-0.0042890230622601739,0)   (0.0095582752042492006,0)   (-0.00073179221246835497,0)   (0.0031006174251851544,0)   (0.47942462755703458,0)   (-0.045107390411913549,0)   (-0.022507894448691914,0)   (0.031318105510786544,0)   (-0.020388320156395481,0)   (0.0050969278701932397,0)   (-0.00053279970635051403,0)   (4.7407817626319977e-05,0)   
2   0   (0.24060989035221539,0)   (0.041582890807460686,0)   (0.039775668694861717,0)   (0.012554062911520426,0)   (-0.0058872136582643619,0)   (0.020350575385452312,0)   (0.0031102552045097665,0)   (0.011756796997747935,0)   (0.48121978070439947,0)   (-0.067057792450157638,0)   (-0.019161895797816082,0)   (0.037961187992460864,0)   (-0.035295183864180353,0)   (0.010018783200443844,0)   (0.0018300949786859114,0)   (-0.0017387645444384291,0)   
10   0   (0.24060155809865186,0)   (0.078471731121965566,0)   (0.075553263924128727,0)   (0.015939608709994939,0)   (-0.0024237211765443414,0)   (0.045810674398024463,0)   (0.048389593865092548,0)   (0.086955426707280833,0)   (0.48120311619730161,0)   (-0.10416138340351851,0)   (0.010438451362749472,0)   (0.031962368867390643,0)   (-0.058377389768039516,0)   (0.047044705706611498,0)   (-0.031796410343909745,0)   (0.011439160683974162,0)   
100   0   (0.24048692301819949,0)   (0.078325438591638902,0)   (0.070530656647743439,0)   (0.004705971111199872,0)   (-0.020853227509325362,0)   (0.02485823631595448,0)   (0.055589855598694338,0)   (0.1279219718751006,0)   (0.48097384603639876,0)   (-0.11277327714237739,0)   (0.034277139515848272,0)   (0.01032582317495564,0)   (-0.083045331761486568,0)   (0.11794911865183956,0)   (-0.10472785692961716,0)   (0.049614194162970936,0)   
200   0   (0.24046050709356739,0)   (0.074515291971818345,0)   (0.068832940006406121,0)   (0.0030603112182010363,0)   (-0.023532659987133872,0)   (0.021899374725332325,0)   (0.051232026040205873,0)   (0.12485691239787157,0)   (0.4809210141871344,0)   (-0.11607373799742139,0)   (0.03638675751356573,0)   (0.0088452857811092515,0)   (-0.085634560641437013,0)   (0.1230999398072255,0)   (-0.10889718970578818,0)   (0.051301233696343124,0)   
500   0   (0.24045947771495801,0)   (0.074367319894221462,0)   (0.068767373170263837,0)   (0.002996758116091334,0)   (-0.023636322646052841,0)   (0.021785078827891241,0)   (0.051062847666172875,0)   (0.12473730018895025,0)   (0.48091895542991608,0)   (-0.11620192940615119,0)   (0.036468191659906377,0)   (0.0087883818246405222,0)   (-0.08573464056541856,0)   (0.12329810123438731,0)   (-0.10905694105686946,0)   (0.05136572951095688,0)   
1000   0   (0.24045947766698425,0)   (0.074367312998187676,0)   (0.068767370114682799,0)   (0.0029967551543461307,0)   (-0.023636327477056119,0)   (0.021785073501382864,0)   (0.05106283978185646,0)   (0.12473729461449223,0)   (0.48091895533396845,0)   (-0.11620193538034619,0)   (0.03646819545494763,0)   (0.0087883791728246945,0)   (-0.085734645229452469,0)   (0.12329811046911331,0)   (-0.10905694850143639,0)   (0.051365732516448423,0)   
10000   0   (0.24045947766698419,0)   (0.074367312998187274,0)   (0.068767370114682619,0)   (0.0029967551543459525,0)   (-0.02363632747705641,0)   (0.021785073501382542,0)   (0.051062839781855981,0)   (0.12473729461449191,0)   (0.48091895533396856,0)   (-0.11620193538034657,0)   (0.036468195454947845,0)   (0.0087883791728245366,0)   (-0.085734645229452733,0)   (0.12329811046911385,0)   (-0.10905694850143685,0)   (0.051365732516448617,0)   
