0   0   (0.22727272727272732,0)   (-2.2078298785159363e-18,0)   (-8.5159152457043259e-18,0)   (-5.4801491627449135e-18,0)   (3.351170351318832e-18,0)   (-7.8456811754405589e-18,0)   (0,0)   (2.1605192382620235e-17,0)   (-3.2723192842289772e-18,0)   (-3.1540426835941946e-18,0)   (-4.1002554886724533e-18,0)   (0.45454545454543799,0)   (4.0656349420283138e-17,0)   (-4.5346139840244584e-17,0)   (-2.1208472951324403e-17,0)   (-6.835401878351794e-18,0)   (-2.79674878584329e-18,0)   (-5.1191591212241716e-19,0)   (8.2239198878872076e-18,0)   (1.152580832227488e-18,0)   (5.1801454934264814e-18,0)   (2.2062898186118374e-18,0)   
0.5   0   (0.24548219270473523,0)   (0.013979290996580306,0)   (0.018660015767297471,0)   (0.0073353088804614733,0)   (-0.0028712360742592026,0)   (0.0040262429838924894,0)   (-0.0014586461891439259,0)   (0.00091197540398926845,0)   (-0.00024638557463031843,0)   (0.00012439764679335794,0)   (-2.6523991436347557e-05,0)   (0.49096438540653325,0)   (-0.026257665417649401,0)   (-0.009847602580848696,0)   (0.013932116871975058,0)   (-0.0108975561706242,0)   (0.0035637988209669754,0)   (-0.00064897649412908964,0)   (6.4800955884571166e-05,0)   (-8.2003991624331494e-06,0)   (1.5312870800098724e-06,0)   (-4.2929449643711914e-07,0)   
1   0   (0.24617240435147253,0)   (0.03058527249419046,0)   (0.039423575269168329,0)   (0.0094607204056161697,0)   (-0.0020524542915932764,0)   (0.0075944178411566183,0)   (-0.0034590119110094191,0)   (0.0030875825574275474,0)   (-0.00074626002726942999,0)   (0.00064570405756212822,0)   (-5.7680367167816953e-05,0)   (0.49234480870060288,0)   (-0.042142366156020399,0)   (-0.0087621539713604642,0)   (0.016049258214722025,0)   (-0.015200578501337599,0)   (0.0068935432738644426,0)   (-0.0011657428158700378,0)   (-0.00083498900075899645,0)   (0.00049121316216785759,0)   (-0.00010461790235954477,0)   (1.1393821241757936e-05,0)   
2   0   (0.24641473819552007,0)   (0.054452083381840245,0)   (0.068453061753093625,0)   (0.0108388625148055,0)   (-0.00014656453809159365,0)   (0.010911303583562881,0)   (-0.0075861491241204174,0)   (0.0092478829168504695,0)   (-0.002610005293806829,0)   (0.0036666349287076266,0)   (-3.3165810608769831e-05,0)   (0.49282947639012525,0)   (-0.065152117797692782,0)   (-0.0048880506372736389,0)   (0.018573516239057203,0)   (-0.018557188180449359,0)   (0.012184602120246782,0)   (-0.0077639460531048442,0)   (0.0015373730825848047,0)   (0.0007166055585971176,0)   (-0.00054897541685421688,0)   (9.8129201189213694e-05,0)   
10   0   (0.2464161000205507,0)   (0.074377852431439032,0)   (0.099511101179773395,0)   (0.0005397045936925565,0)   (-0.002352248470198067,0)   (0.013275852656001234,0)   (-0.016672523709499138,0)   (0.021358651614857799,0)   (-0.0027226685194620993,0)   (0.021935729037301975,0)   (0.015070837064418509,0)   (0.49283220004097522,0)   (-0.10799533686165061,0)   (0.021611001230546659,0)   (0.0016228086793756769,0)   (-0.009145643229882091,0)   (0.013186006344998617,0)   (-0.031540796051598562,0)   (0.046733693580249404,0)   (-0.043072749509963121,0)   (0.019498464982190621,0)   (-0.0051768739503549452,0)   
100   0   (0.24657622484581801,0)   (0.12239800291015973,0)   (0.097122889835250192,0)   (0.027310227592920802,0)   (-0.012721596915680766,0)   (0.021388352349521488,0)   (-0.014114112150270218,0)   (0.01032854778688902,0)   (0.067578777768656423,0)   (0.11245584974166273,0)   (0.18578844615535542,0)   (0.49315244969162592,0)   (-0.070844555987840438,0)   (0.019813887620679742,0)   (-0.00075007653065091429,0)   (-0.00097988605165031544,0)   (0.0065851803259531052,0)   (-0.036479549933231291,0)   (0.079386004831494522,0)   (-0.065613825642959048,0)   (0.023951667619770012,0)   (-0.00085572598625001286,0)   
200   0   (0.24658858537785047,0)   (0.12595258969777584,0)   (0.097640570557990317,0)   (0.030070579212389939,0)   (-0.01360369888867489,0)   (0.02218585651593338,0)   (-0.014031489798887836,0)   (0.0097368876922335965,0)   (0.073719599138550931,0)   (0.11895117498497476,0)   (0.19773884709981546,0)   (0.49317717075569489,0)   (-0.067724541326463342,0)   (0.019131194585395889,0)   (-0.00022689655268681434,0)   (-0.0012100571942553768,0)   (0.0069326440237474189,0)   (-0.037605516728473037,0)   (0.081111912188444726,0)   (-0.063572202174721398,0)   (0.017563277295857115,0)   (0.0047672256848303746,0)   
500   0   (0.24658911031522696,0)   (0.12610302733726447,0)   (0.097665502332709569,0)   (0.030186125427298888,0)   (-0.013640317102223435,0)   (0.02221899112635161,0)   (-0.014028099347766087,0)   (0.009712557391635835,0)   (0.073975782378718991,0)   (0.11922272582946968,0)   (0.19823102202016646,0)   (0.49317822063044525,0)   (-0.067591803582264492,0)   (0.019099985672482458,0)   (-0.00020155184310247066,0)   (-0.0012237126920255359,0)   (0.0069510936387949919,0)   (-0.037657526107824926,0)   (0.081187244829325447,0)   (-0.063476842975702122,0)   (0.017251174300463131,0)   (0.0050498961574695607,0)   
1000   0   (0.24658911035349126,0)   (0.12610303829469868,0)   (0.097665504167918263,0)   (0.030186133828544969,0)   (-0.013640319762492432,0)   (0.02221899353356091,0)   (-0.014028099100867988,0)   (0.0097125556247146371,0)   (0.073975801000824362,0)   (0.11922274557498246,0)   (0.198231057757146,0)   (0.49317822070697637,0)   (-0.067591793909569639,0)   (0.019099983382950714,0)   (-0.00020154997469746584,0)   (-0.0012237137130684543,0)   (0.0069510950070472647,0)   (-0.037657529922784018,0)   (0.081187250330451072,0)   (-0.063476835976191748,0)   (0.017251151291331333,0)   (0.0050499170528379728,0)   
10000   0   (0.24658911035349135,0)   (0.12610303829470013,0)   (0.097665504167918513,0)   (0.030186133828546048,0)   (-0.013640319762492772,0)   (0.022218993533561222,0)   (-0.014028099100867957,0)   (0.0097125556247144099,0)   (0.073975801000826763,0)   (0.11922274557498498,0)   (0.19823105775715061,0)   (0.49317822070697659,0)   (-0.06759179390956839,0)   (0.019099983382950388,0)   (-0.0002015499746972352,0)   (-0.0012237137130685853,0)   (0.0069510950070474408,0)   (-0.037657529922784511,0)   (0.081187250330451807,0)   (-0.06347683597619086,0)   (0.017251151291328377,0)   (0.0050499170528406573,0)   
