0   0   (0.22727272727272724,0)   (-6.4657875013680988e-18,0)   (1.3798936740724601e-18,0)   (5.5195746962898405e-18,0)   (8.5159152457043259e-18,0)   (7.2148726387217206e-18,0)   (-5.99268109882897e-18,0)   (-6.386936434278244e-18,0)   (2.8386384152347754e-18,0)   (-1.1551681328663738e-17,0)   (2.3655320126956459e-18,0)   (0.4545454545454678,0)   (-1.0225997763215553e-18,0)   (4.2834918160621199e-17,0)   (-3.1431082582750938e-17,0)   (4.7008788512709571e-18,0)   (1.9812870666230135e-17,0)   (-7.9593375963630449e-18,0)   (-1.9774369168627667e-19,0)   (-1.4929340710333068e-18,0)   (1.0349202555543451e-18,0)   (1.2394402108186562e-18,0)   
0.5   0   (0.2447796471432552,0)   (0.017057805362123903,0)   (0.019451668278170086,0)   (0.0082068397565469384,0)   (-0.0013350904588279085,0)   (0.0033944641746771827,0)   (-0.00090179132775164319,0)   (0.00073069625123021174,0)   (-0.00014717446488851055,0)   (0.00010906644041851245,0)   (-1.4379376625372044e-05,0)   (0.48955929428514572,0)   (-0.021700224221427596,0)   (-0.010552182678104609,0)   (0.013479632895275033,0)   (-0.0085670600798362553,0)   (0.0026076422604357518,0)   (-0.00064550356513265071,0)   (0.00016366079702843711,0)   (-4.317348577664218e-05,0)   (9.519170518789867e-06,0)   (-2.1942814991855652e-06,0)   
1   0   (0.2459081518722144,0)   (0.039896706833613092,0)   (0.043783468729820363,0)   (0.01437915938368553,0)   (0.00097592720633525186,0)   (0.0073828306048160982,0)   (-0.0018141037450495764,0)   (0.0026335939827088917,0)   (-0.00021264296925791202,0)   (0.00064499206293440253,0)   (5.5341084683469483e-05,0)   (0.49181630374166385,0)   (-0.032154392568728908,0)   (-0.0093509110734982855,0)   (0.01531853869590934,0)   (-0.01327761358652434,0)   (0.0046385946019208346,0)   (-0.00022574102471985971,0)   (-0.0004554771018831641,0)   (0.00016920422398256451,0)   (-3.1360985283031552e-05,0)   (5.4640691880600347e-06,0)   
2   0   (0.24633978098235779,0)   (0.078551436703072394,0)   (0.083114751079268093,0)   (0.028121999798037027,0)   (0.0069392740496663982,0)   (0.012529767178974255,0)   (-0.0027060799063136931,0)   (0.0080462813963338917,0)   (0.00095036188893926447,0)   (0.0037215641145975187,0)   (0.0015423586289746462,0)   (0.49267956196344098,0)   (-0.04744156411460497,0)   (-0.0070729931421857489,0)   (0.018129232608137095,0)   (-0.017090957369435004,0)   (0.0088922526560061364,0)   (-0.0022335231710087786,0)   (-0.0013578435947495986,0)   (0.00091549283557269931,0)   (-0.00013460119035813595,0)   (-2.9607778465237377e-05,0)   
10   0   (0.24671578873371064,0)   (0.1507854379495521,0)   (0.14938663760503629,0)   (0.056318644314894493,0)   (0.0027844526940907733,0)   (0.017796560182311478,0)   (-0.0073900479791087943,0)   (0.02553049749052437,0)   (0.052349522862837512,0)   (0.063094712745603312,0)   (0.071331853843514176,0)   (0.49343157746731459,0)   (-0.060966619539604562,0)   (0.0091444009179375008,0)   (0.007720347073551204,0)   (-0.01327814887224292,0)   (0.017220203265995184,0)   (-0.030883638797057324,0)   (0.020403303963051005,0)   (-0.0025085364573385004,0)   (-0.0034973938736316199,0)   (0.0022573674259525425,0)   
100   0   (0.24755508386780675,0)   (0.23035644468144378,0)   (0.1784267910138608,0)   (0.067419421825435685,0)   (0.0056359225408216494,0)   (0.025974906926829085,0)   (0.005030198159218225,0)   (0.066790687994200515,0)   (0.17658086660255795,0)   (0.22923866193664527,0)   (0.24188175839804665,0)   (0.49511016773560829,0)   (-0.0037726767481097946,0)   (-0.0081671386858530974,0)   (0.019613512934346728,0)   (-0.014453428389275595,0)   (0.010285688618657845,0)   (-0.0021829644726207007,0)   (-0.011329188765318913,0)   (0.0086589749268882639,0)   (-0.0015120273752334999,0)   (-0.00066048057634920043,0)   
200   0   (0.24755903217318709,0)   (0.2307055660554852,0)   (0.17852564173712099,0)   (0.067415094447028659,0)   (0.00566827971403826,0)   (0.025984390397067292,0)   (0.0051022446347618617,0)   (0.06692647989720224,0)   (0.17685837344035496,0)   (0.22963736315786032,0)   (0.2422005767119933,0)   (0.49511806434637273,0)   (-0.0034929323829073627,0)   (-0.0082700449838742657,0)   (0.019698767509813319,0)   (-0.014482260558797425,0)   (0.010262676297709175,0)   (-0.0020110425027578152,0)   (-0.011554309412009403,0)   (0.008790961967564152,0)   (-0.0015627899860065383,0)   (-0.00065959989597120161,0)   
500   0   (0.24755903916006797,0)   (0.23070618579301544,0)   (0.1785258243696457,0)   (0.067415092597140416,0)   (0.0056683389421109225,0)   (0.025984407455715487,0)   (0.005102372758332429,0)   (0.066926723462717594,0)   (0.17685886846887447,0)   (0.22963806925004107,0)   (0.24220113361662007,0)   (0.49511807832013444,0)   (-0.0034924382804276152,0)   (-0.0082702296851719283,0)   (0.019698922576245104,0)   (-0.014482318320307139,0)   (0.01026264242938757,0)   (-0.0020107389901009858,0)   (-0.011554729223849917,0)   (0.0087912320303993059,0)   (-0.0015629104008882911,0)   (-0.00065958876960646841,0)   
1000   0   (0.24755903916006797,0)   (0.23070618579301999,0)   (0.17852582436964709,0)   (0.067415092597140402,0)   (0.0056683389421113596,0)   (0.025984407455715609,0)   (0.0051023727583333726,0)   (0.066926723462719384,0)   (0.17685886846887811,0)   (0.22963806925004623,0)   (0.24220113361662413,0)   (0.49511807832013455,0)   (-0.0034924382804239662,0)   (-0.0082702296851733231,0)   (0.019698922576246256,0)   (-0.014482318320307573,0)   (0.010262642429387327,0)   (-0.0020107389900987506,0)   (-0.011554729223853019,0)   (0.0087912320304013216,0)   (-0.0015629104008892112,0)   (-0.0006595887696063807,0)   
10000   0   (0.24755903916006797,0)   (0.23070618579301999,0)   (0.17852582436964706,0)   (0.067415092597140416,0)   (0.0056683389421113596,0)   (0.025984407455715609,0)   (0.0051023727583333726,0)   (0.066926723462719398,0)   (0.17685886846887811,0)   (0.22963806925004626,0)   (0.24220113361662415,0)   (0.4951180783201346,0)   (-0.0034924382804239667,0)   (-0.0082702296851733231,0)   (0.019698922576246256,0)   (-0.014482318320307573,0)   (0.010262642429387327,0)   (-0.002010738990098751,0)   (-0.011554729223853019,0)   (0.0087912320304013216,0)   (-0.0015629104008892114,0)   (-0.00065958876960638059,0)   
