0   0   (0.21428571428571422,0)   (2.9738116731030977e-18,0)   (-1.9825411154020651e-18,0)   (-2.4781763942525816e-18,0)   (1.4869058365515489e-18,0)   (-9.9127055770103257e-19,0)   (4.4607175096546471e-18,0)   (0.42857142857142938,0)   (7.0318255186917006e-18,0)   (-5.2041704279304213e-18,0)   (-3.0977204928157271e-18,0)   (3.314560927312828e-18,0)   (4.6465807392235901e-18,0)   (3.299072324848749e-18,0)   
0.5   0   (0.23309354916251357,0)   (0.0046936230003195526,0)   (0.0052390431016707175,0)   (0.0082916304340680883,0)   (-0.0021477193725363509,0)   (0.002850836926145915,0)   (-0.00048930155724282419,0)   (0.46618709832502864,0)   (-0.033574636396500691,0)   (-0.023695244883249422,0)   (0.021030429503857431,0)   (-0.0084363750762581537,0)   (0.0019921874010840595,0)   (-0.00046568938048823861,0)   
1   0   (0.23556385833488866,0)   (0.008844593254343211,0)   (0.0082442063145744017,0)   (0.012501864838538587,0)   (-0.0061188916419551648,0)   (0.0098124368224218866,0)   (-0.0013389117539718354,0)   (0.47112771666977521,0)   (-0.056412352211469695,0)   (-0.031797002073574346,0)   (0.041085344572990942,0)   (-0.024842179754883491,0)   (0.0053709225707309462,0)   (-0.00076799246769022867,0)   
2   0   (0.23656856590627301,0)   (0.016851233209174594,0)   (0.01537930890101279,0)   (0.011182376694998882,0)   (-0.0078439045381905499,0)   (0.021612526432893537,0)   (0.00065943565711335656,0)   (0.47313713181254091,0)   (-0.08451430262259467,0)   (-0.028762796451405292,0)   (0.05207997635690053,0)   (-0.04642114474981076,0)   (0.011436962202093564,0)   (0.0015428749346917522,0)   
10   0   (0.23646328639039871,0)   (0.00019143887417656218,0)   (0.023729734198784744,0)   (0.0077315018465904271,0)   (-0.016127653100663244,0)   (0.039749731005008733,0)   (0.01261636743834375,0)   (0.47292657278079631,0)   (-0.16018619140628262,0)   (0.012981300538406279,0)   (0.039079095488302497,0)   (-0.088531767422644084,0)   (0.088773088910278394,0)   (-0.083014432305757432,0)   
100   0   (0.2355521950208522,0)   (-0.13301685637620342,0)   (0.031642409704807355,0)   (-0.0087433928137478287,0)   (-0.040135364373504394,0)   (0.04429287483531523,0)   (-0.12077055590351743,0)   (0.47110439004170435,0)   (-0.28286696231299541,0)   (0.05249254071423233,0)   (0.0020764149492024232,0)   (-0.093768347294521714,0)   (0.12911228414686882,0)   (-0.26610293477568459,0)   
200   0   (0.23551236042862284,0)   (-0.13761169159479739,0)   (0.032594659131629816,0)   (-0.0093477179558334109,0)   (-0.040365230662518348,0)   (0.045559270673787365,0)   (-0.12621373811581443,0)   (0.47102472085724612,0)   (-0.28676448312596853,0)   (0.052851504257213508,0)   (0.0013536607449581171,0)   (-0.092715084875291162,0)   (0.12765210543583499,0)   (-0.27040074486849491,0)   
500   0   (0.23551177356056255,0)   (-0.13767935082284891,0)   (0.032608708819245755,0)   (-0.0093566140988562956,0)   (-0.040368591225464115,0)   (0.045577970947667114,0)   (-0.12629389681887035,0)   (0.47102354712112549,0)   (-0.28682187134627701,0)   (0.052856767887250626,0)   (0.00134302572583486,0)   (-0.092699531004066998,0)   (0.12763052895859633,0)   (-0.27046402697541849,0)   
1000   0   (0.23551177355890429,0)   (-0.13767935101403173,0)   (0.03260870885894563,0)   (-0.0093566141239938717,0)   (-0.040368591234959922,0)   (0.045577971000508068,0)   (-0.12629389704537258,0)   (0.47102354711780886,0)   (-0.28682187150843724,0)   (0.052856767902123868,0)   (0.0013430256957837991,0)   (-0.092699530960116794,0)   (0.12763052889762821,0)   (-0.27046402715423273,0)   
10000   0   (0.23551177355890429,0)   (-0.13767935101403173,0)   (0.03260870885894563,0)   (-0.0093566141239938717,0)   (-0.040368591234959922,0)   (0.045577971000508068,0)   (-0.12629389704537258,0)   (0.47102354711780886,0)   (-0.28682187150843724,0)   (0.052856767902123868,0)   (0.0013430256957837991,0)   (-0.092699530960116794,0)   (0.12763052889762821,0)   (-0.27046402715423273,0)   
