0   0   (0.20833333333333334,0)   (5.7824115865893572e-18,0)   (8.0953762212251003e-18,0)   (1.1564823173178713e-18,0)   (-5.7824115865893567e-19,0)   (4.6259292692714853e-18,0)   (0.41666666666666691,0)   (1.2432184911167118e-17,0)   (-2.6020852139652106e-18,0)   (-5.0596101382656871e-18,0)   (4.1199682554449168e-18,0)   (-3.6862873864507151e-18,0)   
0.5   0   (0.2247620181135101,0)   (0.0060798411980920296,0)   (0.0053594104137548665,0)   (0.00664873129209152,0)   (-4.3794958420386411e-05,0)   (0.0020148080997588729,0)   (0.44952403622702047,0)   (-0.027771359776191766,0)   (-0.022125416317193895,0)   (0.015186821373332531,0)   (-0.0042285089599598926,0)   (0.00095967527624004592,0)   
1   0   (0.22803335029003097,0)   (0.0034081359036373842,0)   (0.0017331564177149321,0)   (0.013869100823399776,0)   (-0.0028282782323170376,0)   (0.0094947432421273077,0)   (0.45606670058006143,0)   (-0.057182790257720183,0)   (-0.04012466133808304,0)   (0.044805427719633667,0)   (-0.018775194015116275,0)   (0.0046140952772851119,0)   
2   0   (0.22983765325773595,0)   (0.0050447860577278623,0)   (8.125809271990974e-05,0)   (0.016164497395688374,0)   (-0.0018482465564057858,0)   (0.025131869450233935,0)   (0.45967530651547051,0)   (-0.084078053962182014,0)   (-0.047029419834323086,0)   (0.070731434218077691,0)   (-0.045045330058359215,0)   (0.0080959618983821122,0)   
10   0   (0.23015116187212706,0)   (0.010961059451884858,0)   (0.013513850715815179,0)   (0.011142817782211869,0)   (0.0077735670367832261,0)   (0.07871609059690908,0)   (0.46030232374425384,0)   (-0.12690789099817307,0)   (-0.022998628116093496,0)   (0.084446002496268935,0)   (-0.098194274928881137,0)   (0.0666348802279913,0)   
100   0   (0.2302191080864498,0)   (-0.0087695494500250291,0)   (0.011505135479858862,0)   (0.011908256938770257,0)   (-0.0081691518884952647,0)   (0.069265144904165882,0)   (0.46043821617290032,0)   (-0.1462401918248504,0)   (-0.0092016818867443236,0)   (0.078983475505180145,0)   (-0.11998734439540412,0)   (0.10121143159808058,0)   
200   0   (0.23033173068442522,0)   (-0.028294895216267633,0)   (0.0074421774737453827,0)   (0.012945742710822338,0)   (-0.024232450929133929,0)   (0.054047377830474003,0)   (0.46066346136885167,0)   (-0.16281094139295094,0)   (0.00071262332767400675,0)   (0.073747813118575201,0)   (-0.13808644731116701,0)   (0.12475703705840328,0)   
500   0   (0.23052234000805835,0)   (-0.06134077603509891,0)   (0.00056578062784795786,0)   (0.014701646631036345,0)   (-0.05141895364254305,0)   (0.0282919047614291,0)   (0.46104468001611748,0)   (-0.19085628419311632,0)   (0.017492195502187408,0)   (0.06488666016862317,0)   (-0.16871846812362057,0)   (0.16460704950702987,0)   
1000   0   (0.23058333604584305,0)   (-0.071915640667303715,0)   (-0.0016347043948193006,0)   (0.01526354559705935,0)   (-0.060118784873960593,0)   (0.020050010930947763,0)   (0.46116667209168721,0)   (-0.19983094900236908,0)   (0.022861751402500251,0)   (0.06205104221536805,0)   (-0.178520884203206,0)   (0.1773592738930648,0)   
10000   0   (0.23058832502034346,0)   (-0.07278057766832198,0)   (-0.00181468598158072,0)   (0.015309504313643496,0)   (-0.060830359555659234,0)   (0.019375891764378241,0)   (0.46117665004068797,0)   (-0.2005650028115894,0)   (0.02330093693713798,0)   (0.061819111975707788,0)   (-0.17932264126218428,0)   (0.17840230102394442,0)   
