0   0   (0.21428571428571427,0)   (1.9825411154020651e-18,0)   (4.9563527885051629e-19,0)   (-4.4607175096546471e-18,0)   (-1.9825411154020651e-18,0)   (3.4694469519536142e-18,0)   (3.4694469519536142e-18,0)   (0.42857142857142799,0)   (-3.6243329765944008e-18,0)   (-2.6950168287496825e-18,0)   (-2.2613359597554807e-18,0)   (-1.1151793774136618e-18,0)   (6.195440985631454e-19,0)   (-1.3691924578245514e-17,0)   
0.5   0   (0.23401068469654698,0)   (0.00054937458425946821,0)   (0.002135392732829085,0)   (0.0098477783167036665,0)   (-0.0038555643083054295,0)   (0.003858276149890288,0)   (-0.00087407080337429006,0)   (0.46802136939309386,0)   (-0.039852421644877144,0)   (-0.026645106852610977,0)   (0.026503594627173249,0)   (-0.012083083921284314,0)   (0.0029664546932855348,0)   (-0.0007231631804590549,0)   
1   0   (0.23606502195714477,0)   (0.0028019252842666357,0)   (0.004990563220642604,0)   (0.012874587885271229,0)   (-0.0084200242398974334,0)   (0.011195798683693503,0)   (-0.0021846269487031463,0)   (0.4721300439142847,0)   (-0.063903898173514689,0)   (-0.031554997583366225,0)   (0.04396629954746737,0)   (-0.030628626515444755,0)   (0.0067615478192667436,0)   (-0.00051241499356611685,0)   
2   0   (0.23670224307491661,0)   (0.0027110460216153128,0)   (0.011028940573258553,0)   (0.01032986510991039,0)   (-0.012373887415528221,0)   (0.021920164082987428,0)   (-0.0030358633747354499,0)   (0.47340448614982472,0)   (-0.099291162643956654,0)   (-0.024510880649539369,0)   (0.050896126479501362,0)   (-0.054709121532188487,0)   (0.018801081203358064,0)   (-0.00054251170560748224,0)   
10   0   (0.23612916262121617,0)   (-0.064709142058907126,0)   (0.017396205012956648,0)   (0.003221328280241971,0)   (-0.034281979740840386,0)   (0.032670935049789858,0)   (-0.03298574002569616,0)   (0.47225832524243055,0)   (-0.21702220506869083,0)   (0.032618229389961673,0)   (0.023647765622208713,0)   (-0.1012989011007156,0)   (0.11812047671930345,0)   (-0.14185754805412551,0)   
100   0   (0.23531743160503013,0)   (-0.14693968516624278,0)   (0.032639806790695385,0)   (-0.006934837338447214,0)   (-0.043950464331447406,0)   (0.049155421134258998,0)   (-0.11927633307540485,0)   (0.47063486321005849,0)   (-0.29977710379090139,0)   (0.051772815465988026,0)   (0.00492354685975683,0)   (-0.096633642391860355,0)   (0.12023164271354168,0)   (-0.24947804199060244,0)   
200   0   (0.23531737127013855,0)   (-0.14694550319521937,0)   (0.032641211404699645,0)   (-0.0069356851714010076,0)   (-0.043950884990042474,0)   (0.049156973829084356,0)   (-0.11928348296063787,0)   (0.4706347425402756,0)   (-0.29978247036758671,0)   (0.051773373136407924,0)   (0.0049227535247269617,0)   (-0.096632732218618414,0)   (0.12022991868332003,0)   (-0.24948317263112221,0)   
500   0   (0.23531737126914556,0)   (-0.1469455032909712,0)   (0.032641211427816466,0)   (-0.0069356851853544493,0)   (-0.043950884996965582,0)   (0.049156973854638263,0)   (-0.11928348307830906,0)   (0.47063474253829007,0)   (-0.29978247045590867,0)   (0.051773373145585916,0)   (0.0049227535116704319,0)   (-0.096632732203639049,0)   (0.12022991865494628,0)   (-0.24948317271556109,0)   
1000   0   (0.23531737126914556,0)   (-0.1469455032909712,0)   (0.032641211427816466,0)   (-0.0069356851853544493,0)   (-0.043950884996965582,0)   (0.049156973854638263,0)   (-0.11928348307830906,0)   (0.47063474253829007,0)   (-0.29978247045590867,0)   (0.051773373145585916,0)   (0.0049227535116704319,0)   (-0.096632732203639049,0)   (0.12022991865494628,0)   (-0.24948317271556109,0)   
10000   0   (0.23531737126914556,0)   (-0.1469455032909712,0)   (0.032641211427816466,0)   (-0.0069356851853544493,0)   (-0.043950884996965582,0)   (0.049156973854638263,0)   (-0.11928348307830906,0)   (0.47063474253829007,0)   (-0.29978247045590867,0)   (0.051773373145585916,0)   (0.0049227535116704319,0)   (-0.096632732203639049,0)   (0.12022991865494628,0)   (-0.24948317271556109,0)   
