0   0   (0.16666666666666663,0)   (-1.8503717077085941e-17,0)   (-1.8503717077085941e-17,0)   (0.33333333333333331,0)   (-1.1564823173178714e-17,0)   (-2.3129646346357427e-18,0)   
0.5   0   (0.16666666666666666,0)   (0.00080780271548813124,0)   (0.00080780271548812745,0)   (0.33333333333333343,0)   (-0.01699634797450543,0)   (-0.016996347974505392,0)   
1   0   (0.16666666666666669,0)   (-0.017843673968196291,0)   (-0.017843673968196291,0)   (0.33333333333333337,0)   (-0.061455521002437438,0)   (-0.061455521002437376,0)   
2   0   (0.16666666666666669,0)   (-0.060555649319493192,0)   (-0.060555649319493171,0)   (0.33333333333333337,0)   (-0.13550954098663534,0)   (-0.13550954098663526,0)   
10   0   (0.16666666666666669,0)   (-0.083333258309917446,0)   (-0.083333258309917432,0)   (0.33333333333333354,0)   (-0.16666659113774707,0)   (-0.1666665911377469,0)   
100   0   (0.16666666666666674,0)   (-0.083333333333333384,0)   (-0.08333333333333337,0)   (0.33333333333333359,0)   (-0.1666666666666668,0)   (-0.16666666666666669,0)   
200   0   (0.16666666666666674,0)   (-0.083333333333333384,0)   (-0.08333333333333337,0)   (0.33333333333333359,0)   (-0.1666666666666668,0)   (-0.16666666666666669,0)   
500   0   (0.16666666666666674,0)   (-0.083333333333333384,0)   (-0.08333333333333337,0)   (0.33333333333333359,0)   (-0.1666666666666668,0)   (-0.16666666666666669,0)   
1000   0   (0.16666666666666674,0)   (-0.083333333333333384,0)   (-0.08333333333333337,0)   (0.33333333333333359,0)   (-0.1666666666666668,0)   (-0.16666666666666669,0)   
10000   0   (0.16666666666666674,0)   (-0.083333333333333384,0)   (-0.08333333333333337,0)   (0.33333333333333359,0)   (-0.1666666666666668,0)   (-0.16666666666666669,0)   
