0   0   (0.16666666666666663,0)   (0,0)   (-2.7755575615628914e-17,0)   (0.33333333333333331,0)   (-1.3877787807814457e-17,0)   (-6.9388939039072284e-18,0)   
0.5   0   (0.16666666666666666,0)   (-0.0081129975877969138,0)   (-0.0081129975877969555,0)   (0.33333333333333337,0)   (-0.032864674539612497,0)   (-0.032864674539612476,0)   
1   0   (0.16666666666666663,0)   (-0.040875017828675024,0)   (-0.040875017828675073,0)   (0.33333333333333326,0)   (-0.098456081048680852,0)   (-0.098456081048680838,0)   
2   0   (0.16666666666666666,0)   (-0.077520204709950469,0)   (-0.077520204709950552,0)   (0.33333333333333326,0)   (-0.15871500753385598,0)   (-0.15871500753385601,0)   
10   0   (0.1666666666666666,0)   (-0.083333333291838979,0)   (-0.083333333291839062,0)   (0.3333333333333332,0)   (-0.16666666662489277,0)   (-0.16666666662489274,0)   
100   0   (0.16666666666666663,0)   (-0.083333333333333287,0)   (-0.08333333333333337,0)   (0.33333333333333326,0)   (-0.16666666666666666,0)   (-0.16666666666666663,0)   
200   0   (0.16666666666666663,0)   (-0.083333333333333287,0)   (-0.08333333333333337,0)   (0.33333333333333326,0)   (-0.16666666666666666,0)   (-0.16666666666666663,0)   
500   0   (0.16666666666666663,0)   (-0.083333333333333287,0)   (-0.08333333333333337,0)   (0.33333333333333326,0)   (-0.16666666666666666,0)   (-0.16666666666666663,0)   
1000   0   (0.16666666666666663,0)   (-0.083333333333333287,0)   (-0.08333333333333337,0)   (0.33333333333333326,0)   (-0.16666666666666666,0)   (-0.16666666666666663,0)   
10000   0   (0.16666666666666663,0)   (-0.083333333333333287,0)   (-0.08333333333333337,0)   (0.33333333333333326,0)   (-0.16666666666666666,0)   (-0.16666666666666663,0)   
