0   0   (0.22500000000000017,0)   (-1.1015494072452724e-17,0)   (6.3317406873153457e-18,0)   (-7.2858385991025901e-18,0)   (-4.5102810375396986e-18,0)   (1.0495077029659683e-17,0)   (-4.8572257327350596e-18,0)   (-2.0816681711721684e-18,0)   (-3.4694469519536144e-19,0)   (-3.4694469519536142e-18,0)   (0.45000000000000034,0)   (-3.1509625637859973e-18,0)   (-2.8076770509227742e-17,0)   (-1.066990462997297e-17,0)   (-6.521476067500309e-18,0)   (8.6153415131129402e-18,0)   (2.3757580104588617e-18,0)   (-7.480994990149981e-19,0)   (4.2175464509686121e-18,0)   (-2.0471092269241932e-18,0)   
0.5   0   (0.24420189448032822,0)   (0.010335042889294115,0)   (0.015204350011707618,0)   (0.0078815509801696739,0)   (-0.00404996243543104,0)   (0.0046075284334489881,0)   (-0.0016276013047058881,0)   (0.0010002675215272871,0)   (-0.00023712691376522217,0)   (0.00013267231058469383,0)   (0.48840378896025083,0)   (-0.030549651240921689,0)   (-0.012506867222328058,0)   (0.017319812096778287,0)   (-0.012920221022339945,0)   (0.0040703305213199044,0)   (-0.0007751043463851676,0)   (0.00011665019376442534,0)   (-1.9800420100089146e-05,0)   (4.5792126197849355e-06,0)   
1   0   (0.24497446503880094,0)   (0.022389532512173529,0)   (0.032142603605079707,0)   (0.0079360715216388513,0)   (-0.0050931993197835552,0)   (0.0091360008869660961,0)   (-0.0039808168377838101,0)   (0.0032756349319480052,0)   (-0.00068431871180800214,0)   (0.00069040842423686276,0)   (0.4899489300768245,0)   (-0.049473893274655303,0)   (-0.011054985601164182,0)   (0.020007453840571083,0)   (-0.019524465371470155,0)   (0.0083884310709459627,0)   (-0.001051898908705991,0)   (-0.00099821610548995348,0)   (0.00044873863188818247,0)   (-9.2618013627464039e-05,0)   
2   0   (0.24519210094568952,0)   (0.035389742415526636,0)   (0.053140724949452059,0)   (0.0042633312267759777,0)   (-0.0051021068058041772,0)   (0.014394709681783699,0)   (-0.0099055572434580113,0)   (0.010156123878767253,0)   (-0.0022562826960109044,0)   (0.0041931218733489038,0)   (0.49038420189106596,0)   (-0.078184730249983056,0)   (-0.0051548401826788312,0)   (0.021890711777426269,0)   (-0.02497850528755417,0)   (0.017067064471301609,0)   (-0.010062328042652068,0)   (0.0013669600041406663,0)   (0.0009905458712692139,0)   (-0.00051803600123161847,0)   
10   0   (0.24497039192793432,0)   (0.010903590090423224,0)   (0.071074844282343563,0)   (-0.016134260681648249,0)   (-0.0037306124727480884,0)   (0.018215609390533776,0)   (-0.028569395583715088,0)   (0.029180723237216134,0)   (-0.0061125718906456239,0)   (0.042221251543864871,0)   (0.48994078385582907,0)   (-0.15330571290648243,0)   (0.0339498726462861,0)   (-0.004026404663208815,0)   (-0.014664861683420558,0)   (0.024591650996372495,0)   (-0.05566698421674364,0)   (0.065587901548492047,0)   (-0.065086501666349952,0)   (0.037860056611561423,0)   
100   0   (0.24487199957531225,0)   (-0.0068406348970172434,0)   (0.065691213326397685,0)   (-0.019997430515259481,0)   (-0.0023370921545682144,0)   (0.01754363152898842,0)   (-0.031259210200547324,0)   (0.030107628064725049,0)   (-0.00047712757081894868,0)   (0.077570317309029788,0)   (0.48974399915061895,0)   (-0.17013193785326503,0)   (0.048113935503406535,0)   (-0.018347024154067432,0)   (-0.0016322811811829232,0)   (0.014476470406761274,0)   (-0.05791791494354253,0)   (0.10212540987788518,0)   (-0.14706075677883665,0)   (0.11591775962856857,0)   
200   0   (0.24489614437691654,0)   (0.001388845601488501,0)   (0.067654810093204634,0)   (-0.019429581897950639,0)   (-0.0022642869871952963,0)   (0.017700882073380372,0)   (-0.031266880130493495,0)   (0.02982401786425163,0)   (0.0055002836163192195,0)   (0.084333868144606708,0)   (0.48979228875382885,0)   (-0.16468388396078823,0)   (0.046392952267945056,0)   (-0.016958182950459571,0)   (-0.0017976170980345241,0)   (0.014398113573588564,0)   (-0.059055464683303333,0)   (0.1041567280847889,0)   (-0.14290346005338339,0)   (0.10618268591040998,0)   
500   0   (0.24496061060438404,0)   (0.023424292022827878,0)   (0.072936116960207423,0)   (-0.017907562333387934,0)   (-0.0020725291742563195,0)   (0.0181272596720774,0)   (-0.031294518062127616,0)   (0.029067591450742794,0)   (0.021497196617332313,0)   (0.10242131170963288,0)   (0.48992122120877069,0)   (-0.15010797223743064,0)   (0.041779493744025342,0)   (-0.013228449422164038,0)   (-0.0022577241558365494,0)   (0.014205242344001274,0)   (-0.062112145839133333,0)   (0.10954617593777029,0)   (-0.13165692751719982,0)   (0.080043448658242616,0)   
1000   0   (0.24503052542556622,0)   (0.047322150361825764,0)   (0.078663796881055195,0)   (-0.01625690315733562,0)   (-0.0018645645690693229,0)   (0.018589674861995944,0)   (-0.031324492753553451,0)   (0.02824723305458374,0)   (0.038846150323179229,0)   (0.1220374837020945,0)   (0.49006105085113616,0)   (-0.1343001217377493,0)   (0.036776110123998763,0)   (-0.0091834816148923994,0)   (-0.0027567209791475671,0)   (0.013996071814478572,0)   (-0.065427175610892382,0)   (0.11539112828392117,0)   (-0.11945983696933035,0)   (0.051694943205229951,0)   
10000   0   (0.24508025190796714,0)   (0.06431935370182533,0)   (0.082737573656366234,0)   (-0.015082882068817704,0)   (-0.0017166510350721028,0)   (0.018918564794267578,0)   (-0.03134581206668987,0)   (0.02766375823966959,0)   (0.051185485910975853,0)   (0.13598936421701832,0)   (0.49016050381593823,0)   (-0.12305688623522157,0)   (0.033217484594830052,0)   (-0.0063065233808671673,0)   (-0.0031116293710008367,0)   (0.013847300574286266,0)   (-0.067784969950010682,0)   (0.11954831434347758,0)   (-0.11078473206002518,0)   (0.031532244743517186,0)   
