0   0   (0.16666666666666666,0)   (0,0)   (-1.3877787807814457e-17,0)   (0.33333333333333331,0)   (1.6190752442450201e-17,0)   (1.3877787807814457e-17,0)   
0.5   0   (0.1666666666666666,0)   (-0.0055367945675393578,0)   (-0.0055367945675393647,0)   (0.3333333333333332,0)   (-0.028282122589827388,0)   (-0.028282122589827392,0)   
1   0   (0.16666666666666663,0)   (-0.035032765558889657,0)   (-0.03503276555888965,0)   (0.3333333333333332,0)   (-0.089070323655494846,0)   (-0.089070323655494887,0)   
2   0   (0.16666666666666671,0)   (-0.074833787810161867,0)   (-0.074833787810161825,0)   (0.33333333333333326,0)   (-0.15504031308621954,0)   (-0.15504031308621957,0)   
10   0   (0.1666666666666666,0)   (-0.083333333026729628,0)   (-0.083333333026729586,0)   (0.33333333333333309,0)   (-0.16666666635799698,0)   (-0.16666666635799701,0)   
100   0   (0.16666666666666663,0)   (-0.083333333333333329,0)   (-0.083333333333333287,0)   (0.33333333333333326,0)   (-0.16666666666666657,0)   (-0.1666666666666666,0)   
200   0   (0.16666666666666663,0)   (-0.083333333333333329,0)   (-0.083333333333333287,0)   (0.33333333333333326,0)   (-0.16666666666666657,0)   (-0.1666666666666666,0)   
500   0   (0.16666666666666663,0)   (-0.083333333333333329,0)   (-0.083333333333333287,0)   (0.33333333333333326,0)   (-0.16666666666666657,0)   (-0.1666666666666666,0)   
1000   0   (0.16666666666666663,0)   (-0.083333333333333329,0)   (-0.083333333333333287,0)   (0.33333333333333326,0)   (-0.16666666666666657,0)   (-0.1666666666666666,0)   
10000   0   (0.16666666666666663,0)   (-0.083333333333333329,0)   (-0.083333333333333287,0)   (0.33333333333333326,0)   (-0.16666666666666657,0)   (-0.1666666666666666,0)   
