0   0   (0.22500000000000009,0)   (-2.1250362580715888e-18,0)   (-4.336808689942018e-20,0)   (1.491862189340054e-17,0)   (-8.673617379884036e-20,0)   (2.0816681711721684e-18,0)   (6.2450045135165057e-18,0)   (-2.8189256484623115e-18,0)   (-3.8597597340483959e-18,0)   (-7.0256300777060684e-18,0)   (0.4500000000000039,0)   (2.6375250724783307e-17,0)   (-5.0937173316084605e-17,0)   (1.615732287546523e-17,0)   (-5.8479154678436895e-18,0)   (8.9758387354643692e-18,0)   (5.6107462426124853e-19,0)   (-2.6183482465524931e-18,0)   (1.1472214237612245e-18,0)   (2.8199420879990165e-18,0)   
0.5   0   (0.24376496426403674,0)   (0.012702729585356958,0)   (0.015936987259195633,0)   (0.0082928478438393967,0)   (-0.0029008775398645147,0)   (0.0040614461076979476,0)   (-0.0012382741800145965,0)   (0.00088213666085580416,0)   (-0.00017558618863305008,0)   (0.00012446464078184582,0)   (0.48752992852775756,0)   (-0.02707268030678564,0)   (-0.012859865613877369,0)   (0.016728052644158619,0)   (-0.010984254060837017,0)   (0.003342276570393828,0)   (-0.00077726173130667094,0)   (0.00018657121303862571,0)   (-4.1921540110132997e-05,0)   (1.0084306207812745e-05,0)   
1   0   (0.24482902317291103,0)   (0.029224476181129631,0)   (0.035132023724204507,0)   (0.010534413543661724,0)   (-0.0033745588452723024,0)   (0.0085218676002038612,0)   (-0.0027803618684661812,0)   (0.0029931120297867213,0)   (-0.00036745260506464324,0)   (0.00068086539571729542,0)   (0.4896580463453083,0)   (-0.041933766632910346,0)   (-0.011644056266997384,0)   (0.019537457404639247,0)   (-0.017710297461764887,0)   (0.0064248188948704413,0)   (-0.00032530784671442182,0)   (-0.00069397775201393954,0)   (0.00024182296325409342,0)   (-4.7486155694157544e-05,0)   
2   0   (0.24517557184790933,0)   (0.052311395125201957,0)   (0.061888340220988498,0)   (0.011907063284719438,0)   (-0.0029046881917253408,0)   (0.014351558999556625,0)   (-0.0059181759785159084,0)   (0.0089378287364021078,0)   (-0.00015309322840253146,0)   (0.0039734634509493334,0)   (0.49035114369539934,0)   (-0.064746861847641932,0)   (-0.0076320884865364313,0)   (0.02236763380303369,0)   (-0.023615791667078768,0)   (0.013762922261769348,0)   (-0.0047920337423585082,0)   (-0.0011642613245431909,0)   (0.0011578797177408727,0)   (-0.00027417828163360557,0)   
10   0   (0.24519198503633405,0)   (0.075994341711454791,0)   (0.10026006962375424,0)   (-4.8540429392256695e-05,0)   (-0.0059366149971104495,0)   (0.020604039341449706,0)   (-0.022504271587458369,0)   (0.028278576421733821,0)   (0.023805302089535733,0)   (0.045547574270420388,0)   (0.49038397007262519,0)   (-0.1134351728541193,0)   (0.019996915667850376,0)   (0.0046447879575729437,0)   (-0.019040083600879776,0)   (0.028504304516162298,0)   (-0.055283998792502551,0)   (0.042210177961218794,0)   (-0.020074237383409292,0)   (0.0031344555566136141,0)   
100   0   (0.24481754135045136,0)   (0.05263647044495804,0)   (0.10469816356779708,0)   (-0.007228284685000432,0)   (-0.010392571127289708,0)   (0.024727350497414768,0)   (-0.04024221079016721,0)   (0.016794115001409701,0)   (0.029149491196747052,0)   (0.080444064728229278,0)   (0.48963508270090123,0)   (-0.14405898487859517,0)   (0.038779475637271917,0)   (-0.013479909378823507,0)   (-0.0035021332532612073,0)   (0.018639572759637187,0)   (-0.084439588089969861,0)   (0.1185266282130866,0)   (-0.11308889709501303,0)   (0.039041295293510241,0)   
200   0   (0.24481785874817999,0)   (0.05247745820185977,0)   (0.10425507323637107,0)   (-0.0074203047422137271,0)   (-0.010345403289240452,0)   (0.02465252623517105,0)   (-0.04029353303813861,0)   (0.016571532326878843,0)   (0.029068601572645941,0)   (0.080968674229973073,0)   (0.48963571749635842,0)   (-0.14403900379635634,0)   (0.039025082466174671,0)   (-0.013839761319519479,0)   (-0.0029489752657585965,0)   (0.018101358892836258,0)   (-0.084479507936643175,0)   (0.12056283477812249,0)   (-0.11671875259320987,0)   (0.04091509894431062,0)   
500   0   (0.24481790733505848,0)   (0.052480045622923258,0)   (0.10424990728310356,0)   (-0.0074220055648427522,0)   (-0.01034404474363391,0)   (0.02465119584544824,0)   (-0.040292411622038837,0)   (0.016571722170331846,0)   (0.029072804414840149,0)   (0.080980022963416137,0)   (0.48963581467011519,0)   (-0.1440347678535111,0)   (0.039026801343178104,0)   (-0.013843298947959149,0)   (-0.00294230566831373,0)   (0.018094571867814227,0)   (-0.084477907805506222,0)   (0.12058551024688249,0)   (-0.11676231980487023,0)   (0.040938281232294552,0)   
1000   0   (0.24481790733518408,0)   (0.052480045631046635,0)   (0.10424990727305787,0)   (-0.0074220055677794378,0)   (-0.010344044740430627,0)   (0.024651195842543629,0)   (-0.040292411618669872,0)   (0.016571722172629602,0)   (0.029072804426605831,0)   (0.080980022989163514,0)   (0.48963581467036815,0)   (-0.14403476784249014,0)   (0.039026801345731069,0)   (-0.0138432989543892,0)   (-0.002942305655178236,0)   (0.018094571854249248,0)   (-0.084477907800973126,0)   (0.12058551029030222,0)   (-0.11676231989053715,0)   (0.040938281278310298,0)   
10000   0   (0.2448179073351841,0)   (0.052480045631046635,0)   (0.10424990727305786,0)   (-0.0074220055677794378,0)   (-0.010344044740430627,0)   (0.024651195842543629,0)   (-0.040292411618669872,0)   (0.016571722172629602,0)   (0.029072804426605831,0)   (0.080980022989163514,0)   (0.48963581467036821,0)   (-0.14403476784249017,0)   (0.039026801345731069,0)   (-0.0138432989543892,0)   (-0.002942305655178236,0)   (0.018094571854249251,0)   (-0.084477907800973112,0)   (0.12058551029030222,0)   (-0.11676231989053716,0)   (0.040938281278310291,0)   
