0   0   (0.21428571428571436,0)   (-6.9388939039072284e-18,0)   (1.0903976134711359e-17,0)   (-6.9388939039072284e-18,0)   (-9.4170702981598104e-18,0)   (-3.9650822308041303e-18,0)   (2.9738116731030977e-18,0)   (0.42857142857142982,0)   (1.4497331906377603e-17,0)   (2.2613359597554807e-18,0)   (4.0270366406604452e-19,0)   (-1.7657006809049643e-18,0)   (-1.0532249675573471e-18,0)   (4.8943983786488489e-18,0)   
0.5   0   (0.23449591454133314,0)   (-0.0019837552449218851,0)   (0.00038624452872323706,0)   (0.010857967487422194,0)   (-0.0049917786537140565,0)   (0.0045403522166342679,0)   (-0.0011434327694268831,0)   (0.46899182908266773,0)   (-0.043678612873224693,0)   (-0.028119726853140389,0)   (0.029733415888457439,0)   (-0.014639591285241468,0)   (0.0036302098610559949,0)   (-0.00088285954948321452,0)   
1   0   (0.2362930804279692,0)   (-0.0013459328450326636,0)   (0.0033123058778854572,0)   (0.013073053534821796,0)   (-0.0099820112471204706,0)   (0.011904015234876905,0)   (-0.0027840852175107199,0)   (0.47258616085593469,0)   (-0.069217108185678139,0)   (-0.030958010143693926,0)   (0.04512295469292938,0)   (-0.034391324012628538,0)   (0.0079468476163753691,0)   (-0.0003485331466303867,0)   
2   0   (0.23671547020658962,0)   (-0.0070801134890804496,0)   (0.0088750832291366096,0)   (0.010109109018042047,0)   (-0.015548994991906729,0)   (0.022156420057217022,0)   (-0.0054919302137203503,0)   (0.47343094041317385,0)   (-0.10983179016682709,0)   (-0.021369968137391011,0)   (0.049747210007762784,0)   (-0.060003968941380999,0)   (0.024655920705307293,0)   (-0.0030536547055091058,0)   
10   0   (0.23588247553192643,0)   (-0.092864361234962334,0)   (0.019085628463197207,0)   (0.0021130793464743686,0)   (-0.039557936831751135,0)   (0.036712946475312168,0)   (-0.051964467166472905,0)   (0.47176495106385119,0)   (-0.24419763904742275,0)   (0.038785694631015881,0)   (0.018326619323504829,0)   (-0.10224728961266598,0)   (0.12073862787279548,0)   (-0.16682507093834242,0)   
100   0   (0.23522626911195399,0)   (-0.15100692765918797,0)   (0.032335211250460204,0)   (-0.0055735190438710221,0)   (-0.045609750637627781,0)   (0.050319793922401962,0)   (-0.11569095971564483,0)   (0.47045253822390787,0)   (-0.30588832037021879,0)   (0.051151544309068667,0)   (0.0066340496278272784,0)   (-0.098520439698970119,0)   (0.11662086645762519,0)   (-0.23919043455064989,0)   
200   0   (0.23522626844874397,0)   (-0.15100698692072992,0)   (0.032335226375012502,0)   (-0.005573528068586046,0)   (-0.045609755465590505,0)   (0.050319809360255673,0)   (-0.11569103372908635,0)   (0.47045253689748734,0)   (-0.30588837737311653,0)   (0.051151550640675801,0)   (0.0066340420819177605,0)   (-0.098520432635579927,0)   (0.11662084979187182,0)   (-0.23919048539075216,0)   
500   0   (0.23522626844874384,0)   (-0.15100698692073966,0)   (0.032335226375014986,0)   (-0.005573528068587531,0)   (-0.045609755465591297,0)   (0.050319809360258219,0)   (-0.11569103372909853,0)   (0.47045253689748745,0)   (-0.30588837737312602,0)   (0.051151550640676807,0)   (0.0066340420819165202,0)   (-0.098520432635578775,0)   (0.11662084979186907,0)   (-0.2391904853907606,0)   
1000   0   (0.23522626844874384,0)   (-0.15100698692073966,0)   (0.032335226375014986,0)   (-0.005573528068587531,0)   (-0.045609755465591297,0)   (0.050319809360258219,0)   (-0.11569103372909853,0)   (0.47045253689748745,0)   (-0.30588837737312602,0)   (0.051151550640676807,0)   (0.0066340420819165202,0)   (-0.098520432635578775,0)   (0.11662084979186907,0)   (-0.2391904853907606,0)   
10000   0   (0.23522626844874384,0)   (-0.15100698692073966,0)   (0.032335226375014986,0)   (-0.005573528068587531,0)   (-0.045609755465591297,0)   (0.050319809360258219,0)   (-0.11569103372909853,0)   (0.47045253689748745,0)   (-0.30588837737312602,0)   (0.051151550640676807,0)   (0.0066340420819165202,0)   (-0.098520432635578775,0)   (0.11662084979186907,0)   (-0.2391904853907606,0)   
