0   0   (0.21428571428571433,0)   (-3.4694469519536142e-18,0)   (-1.2390881971262908e-17,0)   (8.4257997404587767e-18,0)   (-4.9563527885051629e-19,0)   (-2.4781763942525816e-18,0)   (-4.9563527885051632e-18,0)   (0.42857142857142821,0)   (-4.8324439687925338e-18,0)   (1.1182770979064774e-17,0)   (3.438469747025457e-18,0)   (5.5758968870683089e-19,0)   (4.1199682554449168e-18,0)   (-5.6688285018527802e-18,0)   
0.5   0   (0.23230900975720162,0)   (0.0076688579873724775,0)   (0.0075960713090088032,0)   (0.0073103072144823653,0)   (-0.0010448517346007726,0)   (0.0022461887049687137,0)   (-0.00025931182365460781,0)   (0.46461801951440396,0)   (-0.029026188852605283,0)   (-0.021246142743972202,0)   (0.017137485803505444,0)   (-0.0062379222527459335,0)   (0.0014054928922423672,0)   (-0.00030992538079545947,0)   
1   0   (0.2350943614769965,0)   (0.012954414843178701,0)   (0.011094804495114276,0)   (0.012225631159857095,0)   (-0.0045036327923444804,0)   (0.0086384285940538201,0)   (-0.00080997713871663174,0)   (0.47018872295399233,0)   (-0.051503257516152298,0)   (-0.031312154737726944,0)   (0.038111915016919393,0)   (-0.020862240327388214,0)   (0.0045613764924222061,0)   (-0.0008514217388213653,0)   
2   0   (0.23635990811223839,0)   (0.025648677164925148,0)   (0.019091139229807395,0)   (0.012224813698481255,0)   (-0.0050899629740571292,0)   (0.021089344810796301,0)   (0.0029634835923568067,0)   (0.47271981622447273,0)   (-0.075635156302628709,0)   (-0.031295718576626698,0)   (0.052339226003931545,0)   (-0.040746471319830002,0)   (0.0077313741679883481,0)   (0.001952294142611594,0)   
10   0   (0.23655004605437435,0)   (0.055898957725761679,0)   (0.036953334437195035,0)   (0.015383423679291621,0)   (0.0052770226357417415,0)   (0.06133521386280856,0)   (0.060209255781698258,0)   (0.47310009210874726,0)   (-0.11292321141978236,0)   (-0.0081781251408724279,0)   (0.053812283487969813,0)   (-0.066727283433833717,0)   (0.047254417218246296,0)   (-0.037084742245656478,0)   
100   0   (0.2367449711901923,0)   (0.14373652363874226,0)   (0.063231752300771965,0)   (0.03767865342621992,0)   (0.050955072227180702,0)   (0.13130271115784226,0)   (0.18180619752686236,0)   (0.47348994238038494,0)   (-0.038063793356452297,0)   (-0.041209115068024778,0)   (0.071662998871323783,0)   (-0.016003379757190659,0)   (-0.022909597859392443,0)   (0.0050711487998057938,0)   
200   0   (0.23675933004199395,0)   (0.15342831942496463,0)   (0.066353990491181306,0)   (0.039864350353389637,0)   (0.056196484137015307,0)   (0.13884998188171019,0)   (0.19313880755441137,0)   (0.47351866008398819,0)   (-0.029061046109183461,0)   (-0.046579965786459572,0)   (0.074936964086745814,0)   (-0.0094367393575095493,0)   (-0.03491689409712171,0)   (0.01624822879272985,0)   
500   0   (0.23675989352148649,0)   (0.15387783038071035,0)   (0.066507838638816347,0)   (0.039967699601141077,0)   (0.056449108685686415,0)   (0.139219500942696,0)   (0.19366485761064189,0)   (0.47351978704297332,0)   (-0.028640871785802074,0)   (-0.046838033416040481,0)   (0.075091700244587112,0)   (-0.0091142657447521123,0)   (-0.035502638693005621,0)   (0.016769500250786586,0)   
1000   0   (0.23675989354386009,0)   (0.15387786509820317,0)   (0.066507852386044605,0)   (0.039967707990992828,0)   (0.056449130162563338,0)   (0.13921953350088001,0)   (0.19366489833042941,0)   (0.47351978708772063,0)   (-0.028640838793022455,0)   (-0.046838055197150487,0)   (0.075091712790986559,0)   (-0.0091142371430651976,0)   (-0.035502689882634754,0)   (0.016769541101262702,0)   
10000   0   (0.23675989354386012,0)   (0.15387786509820886,0)   (0.0665078523860472,0)   (0.039967707990994285,0)   (0.056449130162567224,0)   (0.13921953350088612,0)   (0.19366489833043604,0)   (0.47351978708772063,0)   (-0.028640838793016998,0)   (-0.0468380551971544,0)   (0.075091712790988696,0)   (-0.0091142371430598321,0)   (-0.035502689882644232,0)   (0.016769541101269464,0)   
