0   0   (0.20000000000000001,0)   (2.7755575615628915e-18,0)   (4.1633363423443369e-18,0)   (2.7755575615628915e-18,0)   (9.7144514654701191e-18,0)   (0.39999999999999997,0)   (1.4224732503009817e-17,0)   (-8.3266726846886737e-18,0)   (-1.3877787807814458e-18,0)   (-2.0816681711721684e-18,0)   
0.5   0   (0.2152101218412249,0)   (-0.0058445498760377815,0)   (-0.006111141061329789,0)   (0.0074275752232885904,0)   (-0.0019487485726590922,0)   (0.43042024368245047,0)   (-0.042496004465574166,0)   (-0.035326530965827718,0)   (0.021777040144361007,0)   (-0.0071150543127586558,0)   
1   0   (0.21796511722979475,0)   (-0.02300162849396236,0)   (-0.023163645974640958,0)   (0.017039271939674881,0)   (-0.008034120931646932,0)   (0.43593023445959067,0)   (-0.08765942598275217,0)   (-0.066437567985823495,0)   (0.064110239623084694,0)   (-0.029923470960571057,0)   
2   0   (0.21922111996042198,0)   (-0.036106534908277706,0)   (-0.030453207824204766,0)   (0.022982291455265518,0)   (-0.010757499074287614,0)   (0.43844223992084358,0)   (-0.12690620100076955,0)   (-0.074312409772975166,0)   (0.096457705552991518,0)   (-0.069035358714191655,0)   
10   0   (0.21824911665928445,0)   (-0.1056855759946978,0)   (-0.012723467989383036,0)   (0.021556040624803572,0)   (-0.075719734866657021,0)   (0.43649823331856941,0)   (-0.24343944091479328,0)   (-0.030542217006925276,0)   (0.089009712170554922,0)   (-0.20007557920952321,0)   
100   0   (0.21796779313120315,0)   (-0.13081480962006845,0)   (-0.0066049855932798643,0)   (0.022638011045391288,0)   (-0.10318600895825983,0)   (0.43593558626240675,0)   (-0.27091574667932156,0)   (-0.01743391846369638,0)   (0.082053195698324574,0)   (-0.2276593913530402,0)   
200   0   (0.21796779313117354,0)   (-0.13081480962280845,0)   (-0.0066049855926167272,0)   (0.022638011045520431,0)   (-0.10318600896126881,0)   (0.43593558626234752,0)   (-0.27091574668224994,0)   (-0.017433918462285453,0)   (0.082053195697559533,0)   (-0.22765939135595628,0)   
500   0   (0.21796779313117354,0)   (-0.13081480962280845,0)   (-0.0066049855926167272,0)   (0.022638011045520431,0)   (-0.10318600896126881,0)   (0.43593558626234752,0)   (-0.27091574668224994,0)   (-0.017433918462285453,0)   (0.082053195697559533,0)   (-0.22765939135595628,0)   
1000   0   (0.21796779313117354,0)   (-0.13081480962280845,0)   (-0.0066049855926167272,0)   (0.022638011045520431,0)   (-0.10318600896126881,0)   (0.43593558626234752,0)   (-0.27091574668224994,0)   (-0.017433918462285453,0)   (0.082053195697559533,0)   (-0.22765939135595628,0)   
10000   0   (0.21796779313117354,0)   (-0.13081480962280845,0)   (-0.0066049855926167272,0)   (0.022638011045520431,0)   (-0.10318600896126881,0)   (0.43593558626234752,0)   (-0.27091574668224994,0)   (-0.017433918462285453,0)   (0.082053195697559533,0)   (-0.22765939135595628,0)   
