0   0   (0.19999999999999996,0)   (1.3877787807814458e-18,0)   (8.3266726846886737e-18,0)   (0,0)   (-4.1633363423443369e-18,0)   (0.40000000000000019,0)   (-3.8163916471489759e-18,0)   (-7.4593109467002702e-18,0)   (-5.551115123125783e-18,0)   (-1.1275702593849246e-17,0)   
0.5   0   (0.20838472041153253,0)   (0.015492573942397558,0)   (0.014007486931338249,0)   (0.0037154367171384579,0)   (0.0020233727165763242,0)   (0.41676944082306527,0)   (-0.0078911707517287377,0)   (-0.0073307652735360839,0)   (0.0020267016903815875,0)   (-0.00032039424576860316,0)   
1   0   (0.21291475366191887,0)   (0.022031430575809832,0)   (0.018266141618387532,0)   (0.0092018567343099371,0)   (0.0048734242960883764,0)   (0.42582950732383718,0)   (-0.027255603653008113,0)   (-0.023483494661044151,0)   (0.012421667748276903,0)   (-0.0034438294965204817,0)   
2   0   (0.21517085526305324,0)   (0.02182169330778766,0)   (0.012396634793185196,0)   (0.01244844191104901,0)   (0.0057830110107984483,0)   (0.43034171052610654,0)   (-0.061310521361469493,0)   (-0.052260042787865106,0)   (0.044952294165918345,0)   (-0.017249947087805893,0)   
10   0   (0.21765623333549394,0)   (0.025546489665204845,0)   (-0.02895042410126647,0)   (-0.0020332436795932073,0)   (0.032025644584214252,0)   (0.43531246667098772,0)   (-0.1007393761769247,0)   (-0.10884884995433451,0)   (0.1428466266544034,0)   (-0.0602428724942458,0)   
100   0   (0.21736420514587079,0)   (0.05552058465823019,0)   (-0.035549646255618898,0)   (-0.0038205545136576974,0)   (0.063041991357516342,0)   (0.43472841029174197,0)   (-0.071419364166489974,0)   (-0.1297608099552589,0)   (0.15584429794752944,0)   (-0.025949247509003244,0)   
200   0   (0.2173640836927114,0)   (0.055532341089002096,0)   (-0.035551900542821396,0)   (-0.003821061906791141,0)   (0.063053306252473726,0)   (0.43472816738542319,0)   (-0.071406660472457764,0)   (-0.12976866518193955,0)   (0.15584793054743332,0)   (-0.02593361920610605,0)   
500   0   (0.2173640836761698,0)   (0.055532342690193338,0)   (-0.035551900849848668,0)   (-0.0038210619758965907,0)   (0.063053307793529093,0)   (0.43472816735233993,0)   (-0.071406658742252022,0)   (-0.12976866625179828,0)   (0.15584793104218264,0)   (-0.025933617077577204,0)   
1000   0   (0.21736408367616977,0)   (0.055532342690193345,0)   (-0.035551900849848675,0)   (-0.0038210619758965907,0)   (0.063053307793529093,0)   (0.43472816735233988,0)   (-0.071406658742252035,0)   (-0.12976866625179831,0)   (0.15584793104218267,0)   (-0.025933617077577204,0)   
10000   0   (0.2173640836761698,0)   (0.055532342690193345,0)   (-0.035551900849848675,0)   (-0.0038210619758965907,0)   (0.063053307793529093,0)   (0.43472816735233999,0)   (-0.071406658742252022,0)   (-0.12976866625179831,0)   (0.15584793104218267,0)   (-0.025933617077577204,0)   
