0   0   (0.16666666666666666,0)   (9.2518585385429707e-18,0)   (-2.3129646346357429e-17,0)   (0.33333333333333331,0)   (-1.1564823173178714e-17,0)   (4.6259292692714853e-18,0)   
0.5   0   (0.1666666666666666,0)   (0.0027863028831343695,0)   (0.0027863028831343274,0)   (0.3333333333333332,0)   (-0.01347699032698944,0)   (-0.013476990326989405,0)   
1   0   (0.16666666666666666,0)   (-0.011560612722279,0)   (-0.011560612722279056,0)   (0.33333333333333326,0)   (-0.051361590474019066,0)   (-0.051361590474019052,0)   
2   0   (0.16666666666666669,0)   (-0.051858111117705115,0)   (-0.051858111117705177,0)   (0.33333333333333331,0)   (-0.12361235729160618,0)   (-0.1236123572916062,0)   
10   0   (0.16666666666666669,0)   (-0.083332778982703928,0)   (-0.083332778982704012,0)   (0.33333333333333331,0)   (-0.16666610858085212,0)   (-0.16666610858085218,0)   
100   0   (0.16666666666666666,0)   (-0.083333333333333287,0)   (-0.08333333333333337,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666669,0)   
200   0   (0.16666666666666666,0)   (-0.083333333333333287,0)   (-0.08333333333333337,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666669,0)   
500   0   (0.16666666666666666,0)   (-0.083333333333333287,0)   (-0.08333333333333337,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666669,0)   
1000   0   (0.16666666666666666,0)   (-0.083333333333333287,0)   (-0.08333333333333337,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666669,0)   
10000   0   (0.16666666666666666,0)   (-0.083333333333333287,0)   (-0.08333333333333337,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666669,0)   
