0   0   (0.16666666666666666,0)   (0,0)   (0,0)   (0.33333333333333331,0)   (0,0)   (0,0)   
0.5   0   (0.16666666666666669,0)   (0.010362750147633017,0)   (0.010362750147633017,0)   (0.33333333333333337,0)   (0,0)   (0,0)   
1   0   (0.16666666666666666,0)   (0.020409888533642426,0)   (0.020409888533642426,0)   (0.33333333333333331,0)   (0,0)   (0,0)   
2   0   (0.16666666666666669,0)   (0.038509763105000816,0)   (0.038509763105000816,0)   (0.33333333333333337,0)   (0,0)   (0,0)   
10   0   (0.16666666666666669,0)   (0.082217858179285855,0)   (0.082217858179285855,0)   (0.33333333333333331,0)   (0,0)   (0,0)   
100   0   (0.16666666666666666,0)   (0.083333333333333329,0)   (0.083333333333333329,0)   (0.33333333333333331,0)   (0,0)   (0,0)   
200   0   (0.16666666666666666,0)   (0.083333333333333329,0)   (0.083333333333333329,0)   (0.33333333333333331,0)   (0,0)   (0,0)   
500   0   (0.16666666666666666,0)   (0.083333333333333329,0)   (0.083333333333333329,0)   (0.33333333333333331,0)   (0,0)   (0,0)   
1000   0   (0.16666666666666666,0)   (0.083333333333333329,0)   (0.083333333333333329,0)   (0.33333333333333331,0)   (0,0)   (0,0)   
10000   0   (0.16666666666666666,0)   (0.083333333333333329,0)   (0.083333333333333329,0)   (0.33333333333333331,0)   (0,0)   (0,0)   
