0   0   (0.19999999999999998,0)   (-1.1102230246251566e-17,0)   (-1.8041124150158794e-17,0)   (2.7755575615628915e-18,0)   (8.3266726846886737e-18,0)   (0.40000000000000024,0)   (-7.979727989493312e-18,0)   (-6.2450045135165057e-18,0)   (-5.2041704279304213e-18,0)   (-6.2450045135165057e-18,0)   
0.5   0   (0.21291885377392991,0)   (0.0055399763517571853,0)   (0.0041820986003524409,0)   (0.0045419196304439437,0)   (0.0005337653377717194,0)   (0.42583770754786004,0)   (-0.024036670739206904,0)   (-0.02086488756819975,0)   (0.0097066275803048638,0)   (-0.0024894571217198695,0)   
1   0   (0.21637443247772453,0)   (-0.0047996697005167734,0)   (-0.0077459939670010605,0)   (0.01017949275447123,0)   (-0.0030315687104067847,0)   (0.43274886495544956,0)   (-0.062730492713833949,0)   (-0.05094818327427706,0)   (0.040382689450369477,0)   (-0.015655477441506496,0)   
2   0   (0.21839670229583016,0)   (-0.018135902065845481,0)   (-0.02520856672921834,0)   (0.014991100184993951,0)   (-0.0052656393433028487,0)   (0.43679340459166022,0)   (-0.10367952573630192,0)   (-0.076244821059381643,0)   (0.087003964882889515,0)   (-0.046123943413597726,0)   
10   0   (0.21873930978095579,0)   (-0.045323638944881443,0)   (-0.024191363098859379,0)   (0.01393423984870746,0)   (-0.015927943461141455,0)   (0.4374786195619117,0)   (-0.17799194601410631,0)   (-0.062875483215696318,0)   (0.11098885729184524,0)   (-0.13967411284463074,0)   
100   0   (0.21825118750495934,0)   (-0.12738260525849768,0)   (-0.0054042855150126202,0)   (0.01734511179612962,0)   (-0.10273214936920526,0)   (0.43650237500991895,0)   (-0.26795739884099751,0)   (-0.016647438558653121,0)   (0.087365484285301165,0)   (-0.23515599577775684,0)   
200   0   (0.21825095018272794,0)   (-0.12742562046198189,0)   (-0.005394494730299763,0)   (0.017347072513037111,0)   (-0.10277789848642037,0)   (0.43650190036545594,0)   (-0.26800352337072331,0)   (-0.016623482100271553,0)   (0.087352977179371738,0)   (-0.23520455103779717,0)   
500   0   (0.21825095015502632,0)   (-0.12742562548295386,0)   (-0.0053944935874653231,0)   (0.017347072741902808,0)   (-0.10277790382650986,0)   (0.43650190031005287,0)   (-0.26800352875463301,0)   (-0.016623479303941473,0)   (0.087352975719473286,0)   (-0.23520455670543503,0)   
1000   0   (0.21825095015502632,0)   (-0.12742562548295386,0)   (-0.0053944935874653231,0)   (0.017347072741902808,0)   (-0.10277790382650986,0)   (0.43650190031005287,0)   (-0.26800352875463301,0)   (-0.016623479303941473,0)   (0.087352975719473286,0)   (-0.23520455670543503,0)   
10000   0   (0.21825095015502632,0)   (-0.12742562548295386,0)   (-0.0053944935874653231,0)   (0.017347072741902808,0)   (-0.10277790382650986,0)   (0.43650190031005287,0)   (-0.26800352875463301,0)   (-0.016623479303941473,0)   (0.087352975719473286,0)   (-0.23520455670543503,0)   
