0   0   (0.16666666666666663,0)   (0,0)   (-9.2518585385429707e-18,0)   (0.33333333333333343,0)   (-1.1564823173178714e-17,0)   (0,0)   
0.5   0   (0.16666666666666657,0)   (-0.0074576691364241481,0)   (-0.0074576691364241533,0)   (0.33333333333333331,0)   (-0.031698975777141675,0)   (-0.031698975777141633,0)   
1   0   (0.16666666666666655,0)   (-0.039446565934820932,0)   (-0.039446565934820932,0)   (0.33333333333333326,0)   (-0.096161229285279648,0)   (-0.096161229285279592,0)   
2   0   (0.1666666666666666,0)   (-0.076936613493685246,0)   (-0.076936613493685205,0)   (0.33333333333333337,0)   (-0.15791672510707855,0)   (-0.15791672510707849,0)   
10   0   (0.1666666666666666,0)   (-0.083333333264920775,0)   (-0.083333333264920748,0)   (0.33333333333333326,0)   (-0.16666666659779314,0)   (-0.16666666659779306,0)   
100   0   (0.16666666666666657,0)   (-0.083333333333333315,0)   (-0.083333333333333287,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666657,0)   
200   0   (0.16666666666666657,0)   (-0.083333333333333315,0)   (-0.083333333333333287,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666657,0)   
500   0   (0.16666666666666657,0)   (-0.083333333333333315,0)   (-0.083333333333333287,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666657,0)   
1000   0   (0.16666666666666657,0)   (-0.083333333333333315,0)   (-0.083333333333333287,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666657,0)   
10000   0   (0.16666666666666657,0)   (-0.083333333333333315,0)   (-0.083333333333333287,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666657,0)   
