0   0   (0.20000000000000004,0)   (1.3877787807814457e-17,0)   (2.6367796834847467e-17,0)   (2.6367796834847467e-17,0)   (1.9428902930940238e-17,0)   (0.39999999999999958,0)   (-1.5612511283791264e-18,0)   (3.1225022567582528e-18,0)   (-2.1684043449710089e-18,0)   (2.1684043449710089e-18,0)   
0.5   0   (0.20069944146568655,0)   (0.020137003279611827,0)   (0.019975213787503113,0)   (0.0035245836756834657,0)   (0.0019539400192853849,0)   (0.40139888293137288,0)   (-0.00020188069363946952,0)   (-0.0002005836094762785,0)   (1.3095786359220421e-05,0)   (-4.9228560468806086e-07,0)   
1   0   (0.20171874856876895,0)   (0.041935785188629719,0)   (0.041115320377874187,0)   (0.014379755646551161,0)   (0.0088548309488844703,0)   (0.40343749713753785,0)   (-0.0011229712743056832,0)   (-0.0010979779829128778,0)   (0.00014739748149551085,0)   (-1.0881673604989528e-05,0)   
2   0   (0.20107478019047484,0)   (0.082439339337141426,0)   (0.081272434985248568,0)   (0.0493961519122822,0)   (0.035975436847239146,0)   (0.40214956038094934,0)   (-0.0036347616074492773,0)   (-0.0034221619260759663,0)   (0.00091707773992342004,0)   (-0.00012340836420272051,0)   
10   0   (0.1957017324667692,0)   (0.13290264032508911,0)   (0.17825868320364532,0)   (0.13225377791956722,0)   (0.13985204088707645,0)   (0.39140346493353817,0)   (-0.00020431529485544415,0)   (-0.000211104407015307,0)   (0.0001271701149667409,0)   (-1.7049692396662963e-05,0)   
100   0   (0.20265844777613171,0)   (0.12500003332776718,0)   (0.20265838112059817,0)   (0.12500003332776699,0)   (0.1553168955522628,0)   (0.40531689555226313,0)   (-3.9513751242774246e-17,0)   (-1.6890321359338432e-16,0)   (2.1635244078196608e-17,0)   (1.3992823531267856e-17,0)   
200   0   (0.20265847656474822,0)   (0.12500000000002709,0)   (0.20265847656469491,0)   (0.1250000000000269,0)   (0.15531695312949578,0)   (0.40531695312949606,0)   (-4.167407207478493e-17,0)   (-1.6870442638180397e-16,0)   (1.8499148498165102e-17,0)   (1.3752563606905056e-17,0)   
500   0   (0.20265847656477123,0)   (0.12500000000000042,0)   (0.20265847656477121,0)   (0.12500000000000022,0)   (0.15531695312954183,0)   (0.40531695312954219,0)   (-4.5211230592645535e-17,0)   (-1.7477352075365285e-16,0)   (2.1087732254843061e-17,0)   (1.1858461261560205e-17,0)   
1000   0   (0.20265847656477123,0)   (0.12500000000000042,0)   (0.20265847656477121,0)   (0.12500000000000022,0)   (0.15531695312954183,0)   (0.40531695312954219,0)   (-4.5211230592645535e-17,0)   (-1.7477352075365285e-16,0)   (2.1087732254843061e-17,0)   (1.1858461261560205e-17,0)   
10000   0   (0.20265847656477123,0)   (0.12500000000000042,0)   (0.20265847656477121,0)   (0.12500000000000022,0)   (0.15531695312954183,0)   (0.40531695312954219,0)   (-4.5211230592645535e-17,0)   (-1.7477352075365285e-16,0)   (2.1087732254843061e-17,0)   (1.1858461261560205e-17,0)   
