0   0   (0.1875,0)   (0,0)   (-1.3877787807814457e-17,0)   (-1.3877787807814457e-17,0)   (0.37500000000000011,0)   (3.4694469519536142e-18,0)   (6.0715321659188248e-18,0)   (8.6736173798840355e-18,0)   
0.5   0   (0.19685885193385119,0)   (-0.001492564446077716,0)   (-0.0014925644460777538,0)   (0.0072562977946247923,0)   (0.39371770386770255,0)   (-0.027196964994085034,0)   (-0.027196964994084988,0)   (0.015068422530514426,0)   
1   0   (0.19965768255167449,0)   (-0.019815904136192268,0)   (-0.01981590413619233,0)   (0.022656444429205034,0)   (0.39931536510334903,0)   (-0.068182608837638908,0)   (-0.068182608837638811,0)   (0.061924014467615959,0)   
2   0   (0.20344838126020059,0)   (-0.042644749473553768,0)   (-0.042644749473553852,0)   (0.035871291838902801,0)   (0.4068967625204013,0)   (-0.10291787896763256,0)   (-0.10291787896763242,0)   (0.11213155663269289,0)   
10   0   (0.20459310017681193,0)   (-0.049066355598042233,0)   (-0.049066355598042323,0)   (0.037079256769003699,0)   (0.4091862003536243,0)   (-0.1094654601530376,0)   (-0.10946546015303744,0)   (0.12210694338567411,0)   
100   0   (0.20459310185867008,0)   (-0.049066364432207493,0)   (-0.049066364432207576,0)   (0.03707925401149012,0)   (0.40918620371734049,0)   (-0.10946546573209723,0)   (-0.10946546573209706,0)   (0.12210694970585019,0)   
200   0   (0.20459310185867005,0)   (-0.049066364432207486,0)   (-0.049066364432207576,0)   (0.03707925401149012,0)   (0.40918620371734049,0)   (-0.10946546573209721,0)   (-0.10946546573209708,0)   (0.12210694970585018,0)   
500   0   (0.20459310185867008,0)   (-0.049066364432207486,0)   (-0.049066364432207576,0)   (0.03707925401149012,0)   (0.40918620371734055,0)   (-0.10946546573209721,0)   (-0.10946546573209708,0)   (0.12210694970585016,0)   
1000   0   (0.20459310185867005,0)   (-0.049066364432207493,0)   (-0.049066364432207576,0)   (0.03707925401149012,0)   (0.40918620371734044,0)   (-0.10946546573209723,0)   (-0.10946546573209706,0)   (0.12210694970585018,0)   
10000   0   (0.20459310185867008,0)   (-0.049066364432207486,0)   (-0.049066364432207576,0)   (0.037079254011490127,0)   (0.40918620371734049,0)   (-0.10946546573209723,0)   (-0.10946546573209708,0)   (0.12210694970585019,0)   
