0   0   (0.21875,0)   (6.9388939039072284e-18,0)   (-8.6736173798840355e-18,0)   (-7.8062556418956319e-18,0)   (8.6736173798840355e-18,0)   (-3.4694469519536142e-18,0)   (1.1058862159352145e-17,0)   (-2.6020852139652106e-18,0)   (0.4375,0)   (-8.2263839837337649e-18,0)   (-2.3391661871374758e-17,0)   (9.0801931945660996e-19,0)   (-1.4365678785432934e-18,0)   (-6.8846837952829532e-18,0)   (1.497554250745603e-18,0)   (-6.7152772058320931e-18,0)   
0.5   0   (0.2381564644943221,0)   (0.0071168337047455522,0)   (0.0087044192346161734,0)   (0.009068887117769037,0)   (-0.0028120841881337988,0)   (0.0038146956842979658,0)   (-0.00071099881590819096,0)   (0.00070963824390643537,0)   (0.47631292898864547,0)   (-0.032242280799102137,0)   (-0.020244017368394571,0)   (0.021574395028417508,0)   (-0.010266422105427919,0)   (0.002911078928318378,0)   (-0.00065518197041278497,0)   (0.00015453144507914787,0)   
1   0   (0.24008387283736349,0)   (0.017532857100356816,0)   (0.019272156139651452,0)   (0.011528868053725029,0)   (-0.006077393824715221,0)   (0.010516778846335293,0)   (-0.0013997699999646724,0)   (0.0032094747335443337,0)   (0.48016774567471571,0)   (-0.049722946596299722,0)   (-0.022108121338997699,0)   (0.032451863837848913,0)   (-0.023661736114658345,0)   (0.006099848517052993,0)   (-0.00032310739226195804,0)   (-0.00012375612861609283,0)   
2   0   (0.24074506723204347,0)   (0.030799130296659039,0)   (0.034637636953503866,0)   (0.0096667541783009483,0)   (-0.0086263915535813081,0)   (0.020797841190363705,0)   (-0.00015320827040291929,0)   (0.011185879050489664,0)   (0.48149013446406469,0)   (-0.076206357211333453,0)   (-0.016873290761896358,0)   (0.037221703744397615,0)   (-0.039263380986463051,0)   (0.014598962838948033,0)   (0.00047799665677028237,0)   (-0.0020792896544487584,0)   
10   0   (0.24064081727310091,0)   (0.026511130712019583,0)   (0.051262509636109899,0)   (0.0026010598784232493,0)   (-0.014536848608389726,0)   (0.031568907638958539,0)   (0.0077304145725794948,0)   (0.061111886514800748,0)   (0.48128163454619954,0)   (-0.13669902823449775,0)   (0.025069445287017943,0)   (0.018761480864167044,0)   (-0.062593518775005533,0)   (0.072490560783029262,0)   (-0.072148561119001184,0)   (0.041126349305776161,0)   
100   0   (0.24076540734921789,0)   (0.059643026245873955,0)   (0.054169241162831651,0)   (-0.00056327169229478027,0)   (-0.017063376533680872,0)   (0.02218778477403939,0)   (0.044789770776721236,0)   (0.12872099127668071,0)   (0.48153081469843684,0)   (-0.11789515446421416,0)   (0.035242593788349028,0)   (0.007454118679340903,0)   (-0.073201054798219797,0)   (0.11384168594641969,0)   (-0.1098681407736528,0)   (0.060490970480192134,0)   
200   0   (0.24080492785945057,0)   (0.077470921963904052,0)   (0.057815925945241008,0)   (0.00034602635772369001,0)   (-0.01642471989775823,0)   (0.021165314430088303,0)   (0.05926385594383158,0)   (0.14522971328318038,0)   (0.4816098557189013,0)   (-0.10543921693321016,0)   (0.032075327498296322,0)   (0.010865958920216627,0)   (-0.077811963350559385,0)   (0.11773546157725233,0)   (-0.098577058207706625,0)   (0.040171827357972457,0)   
500   0   (0.24081337731521327,0)   (0.081283257886886215,0)   (0.058595797216488471,0)   (0.00054049163246820112,0)   (-0.016288163818019497,0)   (0.02094669224612563,0)   (0.062358991459383936,0)   (0.14875989416914234,0)   (0.48162675463042692,0)   (-0.10277565980143524,0)   (0.03139799626226291,0)   (0.011595637024685254,0)   (-0.078798009940719227,0)   (0.11856797664100875,0)   (-0.096162226095600642,0)   (0.035826483876578545,0)   
1000   0   (0.240813410661256,0)   (0.081298303390519633,0)   (0.058598875002997659,0)   (0.00054125909579401713,0)   (-0.016287624895157355,0)   (0.020945829446802837,0)   (0.062371206509048552,0)   (0.14877382613904042,0)   (0.4816268213225125,0)   (-0.10276514798943907,0)   (0.031395323153230584,0)   (0.011598516722285918,0)   (-0.078801901404607758,0)   (0.11857126218787831,0)   (-0.096152695884674927,0)   (0.035809334841818682,0)   
10000   0   (0.24081341066439343,0)   (0.081298304806109847,0)   (0.058598875292578151,0)   (0.00054125916800253765,0)   (-0.016287624844451575,0)   (0.020945829365624415,0)   (0.062371207658329098,0)   (0.14877382744986131,0)   (0.48162682132878726,0)   (-0.10276514700041152,0)   (0.031395322901725073,0)   (0.01159851699322877,0)   (-0.078801901770744948,0)   (0.11857126249700642,0)   (-0.096152694988003551,0)   (0.035809333228312992,0)   
