0   0   (0.20000000000000001,0)   (1.9428902930940238e-17,0)   (4.1633363423443369e-18,0)   (-2.7755575615628915e-18,0)   (1.1102230246251566e-17,0)   (0.39999999999999997,0)   (1.1058862159352145e-17,0)   (6.9388939039072288e-19,0)   (-1.7347234759768071e-18,0)   (-6.7979476214841131e-18,0)   
0.5   0   (0.20002650126998558,0)   (0.020217106823353728,0)   (0.020191230443762795,0)   (0.0034421896227799318,0)   (0.0018809393665145978,0)   (0.40005300253997128,0)   (-4.5930716657409519e-05,0)   (-4.5801335423603224e-05,0)   (1.7789753667333741e-06,0)   (-3.9648107555361403e-08,0)   
1   0   (0.19964691248202485,0)   (0.042525982612703496,0)   (0.042473110849043955,0)   (0.014285723415519765,0)   (0.0084379185456802987,0)   (0.39929382496404958,0)   (-0.00027681561531167729,0)   (-0.00027398141430373093,0)   (2.1800831520142782e-05,0)   (-9.4908431910924546e-07,0)   
2   0   (0.19612461307933488,0)   (0.084862588043869355,0)   (0.08607379968695128,0)   (0.051521340427923334,0)   (0.034271309085172029,0)   (0.39224922615866947,0)   (-0.0010167149815052112,0)   (-0.00098410410757775505,0)   (0.00015812325328861808,0)   (-1.2621013723568241e-05,0)   
10   0   (0.18037806983248114,0)   (0.13308012323881485,0)   (0.16359057892072287,0)   (0.13276960368232368,0)   (0.11004360325010235,0)   (0.36075613966496212,0)   (-4.5969246500655947e-05,0)   (-3.9832849644093492e-05,0)   (1.5506209968219739e-05,0)   (-1.5283955294095121e-06,0)   
100   0   (0.19267485173280793,0)   (0.12500953865859077,0)   (0.19265577441562498,0)   (0.1250095386585908,0)   (0.13534970346561725,0)   (0.38534970346561565,0)   (6.967210875589826e-17,0)   (3.7353263711706273e-17,0)   (-5.8920120587972195e-17,0)   (5.962775327771592e-17,0)   
200   0   (0.19269033666291116,0)   (0.12500000358864197,0)   (0.19269032948562578,0)   (0.12500000358864202,0)   (0.13538067332582368,0)   (0.3853806733258221,0)   (7.4784447521792152e-17,0)   (4.0464805826922698e-17,0)   (-5.8816335723485864e-17,0)   (5.2469262763891774e-17,0)   
500   0   (0.19269034249085804,0)   (0.12499999999999929,0)   (0.19269034249085804,0)   (0.12499999999999933,0)   (0.13538068498171743,0)   (0.38538068498171585,0)   (6.960571671330673e-17,0)   (3.7094496199953425e-17,0)   (-5.5538319045832644e-17,0)   (5.9682654611214099e-17,0)   
1000   0   (0.19269034249085804,0)   (0.12499999999999929,0)   (0.19269034249085804,0)   (0.12499999999999933,0)   (0.13538068498171743,0)   (0.38538068498171585,0)   (6.9605779473569385e-17,0)   (3.7209601017631815e-17,0)   (-5.5538256285569965e-17,0)   (5.9654836409225864e-17,0)   
10000   0   (0.19269034249085804,0)   (0.12499999999999929,0)   (0.19269034249085804,0)   (0.12499999999999933,0)   (0.13538068498171743,0)   (0.38538068498171585,0)   (6.9605779473569385e-17,0)   (3.7209601017631815e-17,0)   (-5.5538256285569965e-17,0)   (5.9654836409225864e-17,0)   
