0   0   (0.2272727272727271,0)   (-3.1540426835941948e-19,0)   (3.193468217139122e-18,0)   (6.7811917697275188e-18,0)   (2.0107022107912993e-18,0)   (2.1289788114260815e-17,0)   (1.2813298402101417e-17,0)   (-1.0250638721681133e-17,0)   (1.2655596267921707e-17,0)   (-8.0428088431651971e-18,0)   (3.4694469519536142e-18,0)   (0.45454545454544293,0)   (-2.8600452479017475e-17,0)   (2.0489572988091114e-17,0)   (2.666890934729685e-17,0)   (1.429976422153751e-17,0)   (5.8516116116135262e-18,0)   (5.2891817346366708e-18,0)   (-2.341507078191706e-18,0)   (-1.3386200686426142e-18,0)   (3.700763949549243e-18,0)   (3.7620583337323721e-18,0)   
0.5   0   (0.24558655097871207,0)   (0.013177804451874468,0)   (0.01845812682653027,0)   (0.0071024577264180893,0)   (-0.0031696076338550141,0)   (0.0041521529155094427,0)   (-0.0015724337022378289,0)   (0.0009443147399510113,0)   (-0.0002625296163282655,0)   (0.00012524232870873869,0)   (-2.7661771590972591e-05,0)   (0.49117310195556607,0)   (-0.027436393294364182,0)   (-0.0097203437328673217,0)   (0.013982561719872135,0)   (-0.011327156836198253,0)   (0.0037987598382600548,0)   (-0.00064346539016410303,0)   (1.8591460071494775e-05,0)   (1.0811403104329188e-05,0)   (-3.1982434071784183e-06,0)   (7.0104580995509634e-07,0)   
1   0   (0.24620459429025737,0)   (0.028312690986644677,0)   (0.038406494610254312,0)   (0.0084469148297539095,0)   (-0.0025709586134610562,0)   (0.0076788374729604755,0)   (-0.0038305171023835156,0)   (0.0032415739328630262,0)   (-0.00086930689574629195,0)   (0.00067045453932332256,0)   (-7.9465920256086367e-05,0)   (0.49240918857820926,0)   (-0.044618237218943896,0)   (-0.0086154061056681781,0)   (0.016247004104711811,0)   (-0.015583096860680441,0)   (0.0074145962536217701,0)   (-0.0015530772233616594,0)   (-0.00083881707657054868,0)   (0.0005693474454940995,0)   (-0.00013043601963574339,0)   (1.3768659331938746e-05,0)   
2   0   (0.24641322549410555,0)   (0.048743719628830832,0)   (0.065310718054140085,0)   (0.0076950213582407286,0)   (-0.0009869837087405429,0)   (0.010766693538965576,0)   (-0.0084701407237614199,0)   (0.0097586736550474874,0)   (-0.0034155762421144973,0)   (0.0038549280232330692,0)   (-0.00035299646904020989,0)   (0.49282645098731487,0)   (-0.069638505807482903,0)   (-0.0041549804042501541,0)   (0.018451451278883049,0)   (-0.018816958871689705,0)   (0.012814643189765036,0)   (-0.009079339565700258,0)   (0.0026528839488272078,0)   (0.00029020017758208039,0)   (-0.00058417525192396805,0)   (0.00014726042966768991,0)   
10   0   (0.24635239879346679,0)   (0.054497863310562868,0)   (0.088492364854401942,0)   (-0.010146294710001572,0)   (-0.00025692959754769967,0)   (0.01136812828433632,0)   (-0.017131234643866386,0)   (0.022170030539012682,0)   (-0.012870094217240873,0)   (0.021046377904541738,0)   (0.0040436441461026169,0)   (0.4927047975868023,0)   (-0.12267810548367145,0)   (0.024540668990300885,0)   (-0.00091503644354337351,0)   (-0.0083102324326460829,0)   (0.012406543738268215,0)   (-0.029710119693822791,0)   (0.046188242269905089,0)   (-0.052744873627126147,0)   (0.032498479006833482,0)   (-0.01422837254072133,0)   
100   0   (0.24644122815161149,0)   (0.078238254482838845,0)   (0.081628029357654799,0)   (-0.0060325292619881118,0)   (-0.0024989909352125307,0)   (0.012553232230589599,0)   (-0.014480453092032648,0)   (0.016548524695904104,0)   (0.003460949239977246,0)   (0.049666836823019825,0)   (0.073441115779592808,0)   (0.49288245630321931,0)   (-0.10970460014530449,0)   (0.02802742759071385,0)   (-0.0076672020067471511,0)   (0.0026592265021609736,0)   (0.0015497633309319255,0)   (-0.020913763006170986,0)   (0.055728085071022664,0)   (-0.091115264290276568,0)   (0.1117724192458357,0)   (-0.077762229167223168,0)   
200   0   (0.24645639861743604,0)   (0.08198886050047921,0)   (0.081464806357734523,0)   (-0.0049298362750370729,0)   (-0.0028816339279038928,0)   (0.012810992452688411,0)   (-0.014225588641885327,0)   (0.016076909585505932,0)   (0.0051902734272647006,0)   (0.050479503969408507,0)   (0.079062313042342125,0)   (0.49291279723486875,0)   (-0.10670218540881596,0)   (0.027526297270173108,0)   (-0.0073189716376124156,0)   (0.0029983975602298641,0)   (0.0011072850878956564,0)   (-0.020308093699018075,0)   (0.05584491409509721,0)   (-0.092078276718842056,0)   (0.11525146293402883,0)   (-0.078553674837193471,0)   
500   0   (0.24645243406447576,0)   (0.08113819708695337,0)   (0.081244024188112898,0)   (-0.0055090914206213397,0)   (-0.0027131543741394678,0)   (0.01265686694213608,0)   (-0.014268758608157494,0)   (0.016207989597269788,0)   (0.003814425337370858,0)   (0.048791012083938309,0)   (0.076627912731063064,0)   (0.49290486812895362,0)   (-0.1075067378095341,0)   (0.02774215716723917,0)   (-0.0075031210078729468,0)   (0.0031196134110707246,0)   (0.00097744935647112196,0)   (-0.020019000261427937,0)   (0.05543681451906203,0)   (-0.092812072523628497,0)   (0.11752305705668692,0)   (-0.080224522048260805,0)   
1000   0   (0.24644374233250366,0)   (0.079204280342278041,0)   (0.080865997651750093,0)   (-0.0066046363399541157,0)   (-0.0023902792105096517,0)   (0.012372747124607229,0)   (-0.014374052402359193,0)   (0.016481556552837503,0)   (0.0013301043808479028,0)   (0.045901726506138552,0)   (0.071951945288770525,0)   (0.49288748466500742,0)   (-0.10926232856596686,0)   (0.028195651005700938,0)   (-0.0078901894117213763,0)   (0.0033128471621179903,0)   (0.00078803683038728236,0)   (-0.019582144613889945,0)   (0.054720314053624035,0)   (-0.093977634099320265,0)   (0.12121985975808036,0)   (-0.083310850247957896,0)   
10000   0   (0.2463133696705857,0)   (0.050196076941741843,0)   (0.075195972393011387,0)   (-0.023036872908772533,0)   (0.0024525774286601769,0)   (0.0081112213927165503,0)   (-0.015953445132465348,0)   (0.020584900072121871,0)   (-0.035932214718972878,0)   (0.0025658421678844898,0)   (0.0018163246159757921,0)   (0.49262673934117557,0)   (-0.13559550111139121,0)   (0.034997878930141481,0)   (-0.013696083845085003,0)   (0.0062111532209722887,0)   (-0.002052882393376467,0)   (-0.013029943284866024,0)   (0.043973530113172357,0)   (-0.11145954125084861,0)   (0.1766677156489912,0)   (-0.12960379911794437,0)   
