0   0   (0.18749999999999997,0)   (-1.0408340855860843e-17,0)   (-1.214306433183765e-17,0)   (-3.4694469519536142e-18,0)   (0.375,0)   (-1.5612511283791264e-17,0)   (-1.214306433183765e-17,0)   (-9.540979117872439e-18,0)   
0.5   0   (0.19657310263227587,0)   (0.0001765784256900846,0)   (0.00017657842569009474,0)   (0.0065508677261055508,0)   (0.39314620526455157,0)   (-0.024563256624845788,0)   (-0.024563256624845771,0)   (0.012904090034954243,0)   
1   0   (0.19919415953802724,0)   (-0.016383090260868465,0)   (-0.016383090260868451,0)   (0.020825562560552468,0)   (0.39838831907605443,0)   (-0.063708713620457935,0)   (-0.063708713620457866,0)   (0.056436269320085747,0)   
2   0   (0.20307458554010802,0)   (-0.040343483366065948,0)   (-0.040343483366065955,0)   (0.034628257081259897,0)   (0.40614917108021609,0)   (-0.10097683870269297,0)   (-0.1009768387026929,0)   (0.10996127510433214,0)   
10   0   (0.20458758357785259,0)   (-0.04881437789720898,0)   (-0.048814377897208994,0)   (0.036082496669286548,0)   (0.40917516715570507,0)   (-0.10962386174856947,0)   (-0.10962386174856935,0)   (0.12309266970623367,0)   
100   0   (0.20458759096598775,0)   (-0.04881441657148132,0)   (-0.048814416571481341,0)   (0.036082484353949826,0)   (0.4091751819319755,0)   (-0.10962388623362271,0)   (-0.1096238862336226,0)   (0.12309269757802574,0)   
200   0   (0.20458759096598778,0)   (-0.04881441657148132,0)   (-0.048814416571481341,0)   (0.036082484353949833,0)   (0.4091751819319755,0)   (-0.10962388623362269,0)   (-0.10962388623362258,0)   (0.12309269757802575,0)   
500   0   (0.20458759096598778,0)   (-0.04881441657148132,0)   (-0.048814416571481334,0)   (0.036082484353949826,0)   (0.4091751819319755,0)   (-0.10962388623362268,0)   (-0.10962388623362257,0)   (0.12309269757802575,0)   
1000   0   (0.20458759096598778,0)   (-0.04881441657148132,0)   (-0.048814416571481341,0)   (0.036082484353949833,0)   (0.40917518193197555,0)   (-0.10962388623362271,0)   (-0.10962388623362257,0)   (0.12309269757802575,0)   
10000   0   (0.20458759096598778,0)   (-0.048814416571481327,0)   (-0.048814416571481341,0)   (0.03608248435394984,0)   (0.40917518193197544,0)   (-0.10962388623362271,0)   (-0.10962388623362257,0)   (0.12309269757802574,0)   
