0   0   (0.20000000000000001,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0.40000000000000002,0)   (0,0)   (0,0)   (0,0)   (0,0)   
0.5   0   (0.19960422967963301,0)   (0.020233905636766671,0)   (0.020293883560670221,0)   (0.003375300023955074,0)   (0.0018267699957822117,0)   (0.39920845935926602,0)   (0,0)   (0,0)   (0,0)   (0,0)   
1   0   (0.19807629077177394,0)   (0.042677655305321138,0)   (0.043216544709791249,0)   (0.013981075584741209,0)   (0.0079729087322922103,0)   (0.39615258154354788,0)   (0,0)   (0,0)   (0,0)   (0,0)   
2   0   (0.19048268686662675,0)   (0.085355424940777053,0)   (0.089512914622151052,0)   (0.051202288274206788,0)   (0.030233699666380613,0)   (0.38096537373325362,0)   (0,0)   (0,0)   (0,0)   (0,0)   
10   0   (0.13490707789852577,0)   (0.1253726907984532,0)   (0.13397624359694815,0)   (0.12522449812984723,0)   (0.01952476345413854,0)   (0.26981415579705154,0)   (0,0)   (0,0)   (0,0)   (0,0)   
100   0   (0.125000000001736,0)   (0.125,0)   (0.125000000001736,0)   (0.125,0)   (3.4719859662168958e-12,0)   (0.250000000003472,0)   (0,0)   (0,0)   (0,0)   (0,0)   
200   0   (0.125,0)   (0.125,0)   (0.125,0)   (0.125,0)   (4.8218746199097946e-23,0)   (0.25,0)   (0,0)   (0,0)   (0,0)   (0,0)   
500   0   (0.125,0)   (0.125,0)   (0.125,0)   (0.125,0)   (1.2916051582094653e-55,0)   (0.25,0)   (0,0)   (0,0)   (0,0)   (0,0)   
1000   0   (0.125,0)   (0.125,0)   (0.125,0)   (0.125,0)   (6.672975538853191e-110,0)   (0.25,0)   (0,0)   (0,0)   (0,0)   (0,0)   
10000   0   (0.125,0)   (0.125,0)   (0.125,0)   (0.125,0)   (0,0)   (0.25,0)   (0,0)   (0,0)   (0,0)   (0,0)   
