0   0   (0.22222222222222221,0)   (7.3243880096798523e-18,0)   (-9.6373526443155954e-19,0)   (2.7948322668515226e-18,0)   (-5.6860380601462009e-18,0)   (3.8549410577262378e-19,0)   (5.8787851130325128e-18,0)   (-5.3005439543735769e-18,0)   (-7.2280144832366967e-18,0)   (0.44444444444444753,0)   (-1.9795724665964503e-17,0)   (-7.420761536123008e-18,0)   (-2.2045444173871922e-18,0)   (-3.2375481539497701e-18,0)   (2.6924353950056692e-18,0)   (1.0796846634334814e-17,0)   (6.5323180892251642e-18,0)   (3.7480266768283617e-18,0)   
0.5   0   (0.24227713328131231,0)   (0.0061752597049224726,0)   (0.010828744833620636,0)   (0.0088416645195545131,0)   (-0.0051062676031418293,0)   (0.005116036312433906,0)   (-0.0016917927499973747,0)   (0.00097342594041966628,0)   (-0.00024113203891090927,0)   (0.48455426656255918,0)   (-0.035395453281472464,0)   (-0.01642204211267426,0)   (0.021694022538873425,0)   (-0.014929439686281396,0)   (0.0044543080671131403,0)   (-0.00093546495472175673,0)   (0.00016559153583576585,0)   (-3.7448600204981302e-05,0)   
1   0   (0.24320780440658984,0)   (0.013841352212592225,0)   (0.023753426889157988,0)   (0.0077458860281452106,0)   (-0.0077783803205513308,0)   (0.010759110420159756,0)   (-0.0040428872585197223,0)   (0.0031656331349219605,0)   (-0.0006771287209206483,0)   (0.48641560881308216,0)   (-0.057398230999624093,0)   (-0.014749619339231863,0)   (0.025581227269361659,0)   (-0.024955745113603961,0)   (0.0096024578450596386,0)   (-0.00064734896514597893,0)   (-0.00096859848811730773,0)   (0.00035995135501932731,0)   
2   0   (0.24339807144545969,0)   (0.016978803152062485,0)   (0.03771699494175159,0)   (0.0022230282556550901,0)   (-0.0090859376046393617,0)   (0.01798411500887459,0)   (-0.010630803971900603,0)   (0.0099386450344227956,0)   (-0.0026433255821337416,0)   (0.48679614289081308,0)   (-0.092661473244291276,0)   (-0.0067883844730679561,0)   (0.027081835233194566,0)   (-0.034179840537252815,0)   (0.023063612585309954,0)   (-0.010894754599374709,0)   (0.00019889910745458724,0)   (0.0011326018818278579,0)   
10   0   (0.24291570780709562,0)   (-0.05087796479664683,0)   (0.042903184905399037,0)   (-0.018188890658387052,0)   (-0.010419666999338295,0)   (0.022952152460292179,0)   (-0.039614704432070928,0)   (0.029008283226648113,0)   (-0.028809304679519136,0)   (0.48583141561418181,0)   (-0.20799479900004431,0)   (0.041791569439994534,0)   (-0.0081403743500031017,0)   (-0.027488198409425992,0)   (0.044629259503194962,0)   (-0.089300427836582041,0)   (0.098414702761826039,0)   (-0.094995703336937479,0)   
100   0   (0.2421393334752909,0)   (-0.16483890684040933,0)   (0.058244322411009929,0)   (-0.032942505565049275,0)   (-0.012426777332192983,0)   (0.028546642427458295,0)   (-0.058087089577058749,0)   (0.056471585225415233,0)   (-0.11687428303717375,0)   (0.48427866695057764,0)   (-0.31853363792318795,0)   (0.072411536092194626,0)   (-0.031879471569538215,0)   (-0.029391692872987457,0)   (0.046233612827776001,0)   (-0.096213276374302603,0)   (0.11124314398952138,0)   (-0.23404505194707875,0)   
200   0   (0.24213845973396153,0)   (-0.16497066864778767,0)   (0.058273338250624522,0)   (-0.032964262140179987,0)   (-0.012426189352887352,0)   (0.028553060313784892,0)   (-0.058106570974083942,0)   (0.056516032742815421,0)   (-0.11701311606048831,0)   (0.48427691946791956,0)   (-0.31865290676192637,0)   (0.072434194835272928,0)   (-0.03189236230855947,0)   (-0.029409562106417108,0)   (0.046243028303117009,0)   (-0.096199847725071438,0)   (0.11117975945050285,0)   (-0.23412713856959516,0)   
500   0   (0.24213845941843562,0)   (-0.16497071622965043,0)   (0.058273348728866095,0)   (-0.032964269996944462,0)   (-0.012426189140547279,0)   (0.028553062631414508,0)   (-0.058106578009227819,0)   (0.05651604879370891,0)   (-0.11701316619605545,0)   (0.48427691883686841,0)   (-0.31865294983232578,0)   (0.072434203017761822,0)   (-0.031892366963617705,0)   (-0.029409568559415532,0)   (0.04624303170326538,0)   (-0.096199842875667491,0)   (0.11117973656077752,0)   (-0.23412716821243126,0)   
1000   0   (0.24213845941843562,0)   (-0.16497071622965043,0)   (0.058273348728866095,0)   (-0.032964269996944462,0)   (-0.012426189140547279,0)   (0.028553062631414508,0)   (-0.058106578009227819,0)   (0.05651604879370891,0)   (-0.11701316619605545,0)   (0.48427691883686841,0)   (-0.31865294983232578,0)   (0.072434203017761822,0)   (-0.031892366963617705,0)   (-0.029409568559415532,0)   (0.04624303170326538,0)   (-0.096199842875667491,0)   (0.11117973656077752,0)   (-0.23412716821243126,0)   
10000   0   (0.24213845941843562,0)   (-0.16497071622965043,0)   (0.058273348728866095,0)   (-0.032964269996944462,0)   (-0.012426189140547279,0)   (0.028553062631414508,0)   (-0.058106578009227819,0)   (0.05651604879370891,0)   (-0.11701316619605545,0)   (0.48427691883686841,0)   (-0.31865294983232578,0)   (0.072434203017761822,0)   (-0.031892366963617705,0)   (-0.029409568559415532,0)   (0.04624303170326538,0)   (-0.096199842875667491,0)   (0.11117973656077752,0)   (-0.23412716821243126,0)   
