0   0   (0.16666666666666663,0)   (4.6259292692714853e-18,0)   (-4.6259292692714853e-18,0)   (0.33333333333333331,0)   (2.3129646346357427e-18,0)   (1.1564823173178714e-17,0)   
0.5   0   (0.16666666666666666,0)   (0.010336342926827259,0)   (0.010336342926827247,0)   (0.33333333333333337,0)   (-4.6973185048033082e-05,0)   (-4.6973185048030175e-05,0)   
1   0   (0.1666666666666666,0)   (0.020214448569711028,0)   (0.020214448569711028,0)   (0.33333333333333331,0)   (-0.00031398029418891829,0)   (-0.0003139802941889113,0)   
2   0   (0.16666666666666663,0)   (0.03733211727329775,0)   (0.037332117273297744,0)   (0.33333333333333337,0)   (-0.0016108775221678627,0)   (-0.0016108775221678514,0)   
10   0   (0.16666666666666657,0)   (0.079441827929899844,0)   (0.07944182792989983,0)   (0.3333333333333332,0)   (-0.0027947349940742063,0)   (-0.002794734994074218,0)   
100   0   (0.16666666666666616,0)   (0.083333333332754417,0)   (0.083333333332754403,0)   (0.33333333333333232,0)   (-5.7864904552193206e-13,0)   (-5.7866131313380587e-13,0)   
200   0   (0.16666666666666571,0)   (0.083333333333332857,0)   (0.083333333333332857,0)   (0.33333333333333148,0)   (1.3072699840796515e-17,0)   (8.0508796701808901e-19,0)   
500   0   (0.16666666666666433,0)   (0.083333333333332163,0)   (0.083333333333332163,0)   (0.33333333333332871,0)   (1.3072699840796934e-17,0)   (8.0508796701790056e-19,0)   
1000   0   (0.16666666666666199,0)   (0.083333333333330997,0)   (0.083333333333330997,0)   (0.33333333333332404,0)   (2.0011593744705246e-17,0)   (7.7439818709252037e-18,0)   
10000   0   (0.16666666666662036,0)   (0.083333333333310181,0)   (0.083333333333310181,0)   (0.33333333333324078,0)   (2.0011593744721248e-17,0)   (7.7439818709230667e-18,0)   
