0   0   (0.20833333333333334,0)   (6.9388939039072284e-18,0)   (-5.7824115865893567e-19,0)   (0,0)   (-1.1564823173178713e-18,0)   (-1.1564823173178713e-18,0)   (0.41666666666666646,0)   (-4.3368086899420177e-18,0)   (-4.6982094141038528e-18,0)   (-1.2576745200831851e-17,0)   (-4.6259292692714853e-18,0)   (-8.2399365108898337e-18,0)   
0.5   0   (0.22344249495636453,0)   (0.010143266429643232,0)   (0.0089235792331948983,0)   (0.0055136003008064913,0)   (0.00088074018287520107,0)   (0.0014859661119363331,0)   (0.44688498991272957,0)   (-0.021417390647802168,0)   (-0.017670889336478052,0)   (0.010328615748747379,0)   (-0.0025436882038103923,0)   (0.00051848208691839795,0)   
1   0   (0.22707907016188023,0)   (0.010407924209846034,0)   (0.0077584266669040646,0)   (0.012215648253296695,0)   (-0.00058659786234063315,0)   (0.0077004623508265414,0)   (0.45415814032376017,0)   (-0.049006471131764283,0)   (-0.035827783664880368,0)   (0.036271589183570117,0)   (-0.013473689636961592,0)   (0.0033858738858358454,0)   
2   0   (0.22911773558732348,0)   (0.013676850507171798,0)   (0.0056684447990495738,0)   (0.015058792548885227,0)   (0.00067616851346935514,0)   (0.023349120620428498,0)   (0.45823547117464641,0)   (-0.076335921245696228,0)   (-0.048114670455877563,0)   (0.067266975976561852,0)   (-0.036119673046142449,0)   (0.0057657181303855847,0)   
10   0   (0.22956059681193475,0)   (0.05014921667243015,0)   (0.023104313623369576,0)   (0.0092631943666345376,0)   (0.037201759803263561,0)   (0.10154645319620932,0)   (0.45912119362386911,0)   (-0.094952496737889316,0)   (-0.044056008832448201,0)   (0.097461906358060735,0)   (-0.063901485139150893,0)   (0.020884189578506369,0)   
100   0   (0.22901386056006212,0)   (0.097551878509738149,0)   (0.036696216735402992,0)   (0.0073544753763892402,0)   (0.077103762669467779,0)   (0.14772799864361366,0)   (0.45802772112012397,0)   (-0.056250294667471307,0)   (-0.067060841429224638,0)   (0.11086951404693512,0)   (-0.019543093444960479,0)   (-0.033045437636901036,0)   
200   0   (0.22901370562309492,0)   (0.097566782258070528,0)   (0.03669987653855275,0)   (0.0073539485382480034,0)   (0.077116158130990486,0)   (0.1477406986095782,0)   (0.45802741124618973,0)   (-0.056237296845076695,0)   (-0.067069204250148159,0)   (0.11087374016372556,0)   (-0.019527985985012934,0)   (-0.033065794126808941,0)   
500   0   (0.22901370560896472,0)   (0.097566783617291458,0)   (0.036699876872326578,0)   (0.0073539484902003984,0)   (0.077116159261455805,0)   (0.14774069976781434,0)   (0.45802741121792928,0)   (-0.056237295659676084,0)   (-0.067069205012836919,0)   (0.11087374054914714,0)   (-0.019527984607213524,0)   (-0.033065795983319539,0)   
1000   0   (0.2290137056089647,0)   (0.097566783617291444,0)   (0.036699876872326571,0)   (0.0073539484902003975,0)   (0.077116159261455819,0)   (0.14774069976781432,0)   (0.45802741121792928,0)   (-0.056237295659676091,0)   (-0.067069205012836933,0)   (0.11087374054914714,0)   (-0.019527984607213531,0)   (-0.033065795983319546,0)   
10000   0   (0.22901370560896472,0)   (0.097566783617291458,0)   (0.036699876872326571,0)   (0.0073539484902003975,0)   (0.077116159261455805,0)   (0.14774069976781429,0)   (0.45802741121792928,0)   (-0.056237295659676091,0)   (-0.067069205012836933,0)   (0.11087374054914714,0)   (-0.019527984607213528,0)   (-0.033065795983319546,0)   
