0   0   (0.22727272727272749,0)   (-5.0858938272956387e-18,0)   (4.3762342234869455e-18,0)   (-1.2773872868556488e-17,0)   (5.9138300317391147e-19,0)   (-1.1039149392579681e-18,0)   (1.8924256101565167e-18,0)   (-1.2655596267921707e-17,0)   (-1.09208727919449e-17,0)   (3.3117448177739046e-18,0)   (1.5888490018605754e-17,0)   (0.45454545454545059,0)   (1.7675883543302739e-17,0)   (-8.8548516293983741e-17,0)   (-3.2979458810331799e-17,0)   (-6.6160973480081351e-18,0)   (-5.6982216451652934e-19,0)   (1.1564617831858168e-17,0)   (6.2569553783723117e-18,0)   (-6.2045933416329549e-18,0)   (-1.4907779871675686e-19,0)   (2.9595331177065254e-18,0)   
0.5   0   (0.24569496539712646,0)   (0.012145139993224235,0)   (0.018195048724491382,0)   (0.0068146526483916798,0)   (-0.0035125692534215321,0)   (0.0043045330876315862,0)   (-0.001709009590507624,0)   (0.0009827262803793087,0)   (-0.00027949512792592511,0)   (0.00012553294433103481,0)   (-2.8284598601819011e-05,0)   (0.49138993079192955,0)   (-0.028952935612309598,0)   (-0.0095849838121372863,0)   (0.014048228285509,0)   (-0.011816409868395552,0)   (0.0041013169574531435,0)   (-0.00064688483594390678,0)   (-4.5948701206849388e-05,0)   (3.927652243002501e-05,0)   (-1.0332571095178643e-05,0)   (2.3724870985597932e-06,0)   
1   0   (0.24623530649198738,0)   (0.025472146695054931,0)   (0.037169811187827848,0)   (0.0072658037416104227,0)   (-0.0031313007530381189,0)   (0.0077912414631566692,0)   (-0.0042867976313332628,0)   (0.0034572384186985269,0)   (-0.0010282747139925778,0)   (0.00071231036445576642,0)   (-0.00010712549008072299,0)   (0.49247061298161215,0)   (-0.047740315143767198,0)   (-0.0084073911797226848,0)   (0.01648008749939333,0)   (-0.016032301813918501,0)   (0.0080453469743416699,0)   (-0.0021059343085700578,0)   (-0.00078236619714130919,0)   (0.00065684850586118673,0)   (-0.00016735921015203941,0)   (1.8121997378221917e-05,0)   
2   0   (0.24640534837892999,0)   (0.041680898727920968,0)   (0.061605370163882373,0)   (0.0042322379775356859,0)   (-0.0017455385885604951,0)   (0.010630130279780591,0)   (-0.0094481499710511799,0)   (0.010437939764175621,0)   (-0.0044486442222292722,0)   (0.004159406615451674,0)   (-0.00075987148819190819,0)   (0.49281069675713762,0)   (-0.07534350469279362,0)   (-0.0031189261376415316,0)   (0.018165899980567619,0)   (-0.01908850228208122,0)   (0.01354493682641638,0)   (-0.010665335601573841,0)   (0.0041926442970396478,0)   (-0.00048657636467473844,0)   (-0.00054051800176547744,0)   (0.00020393346474672881,0)   
10   0   (0.24624773150719387,0)   (0.026491786115269828,0)   (0.076700303834302791,0)   (-0.020018194933986756,0)   (0.0019718565055265522,0)   (0.009487047015867691,0)   (-0.017855274153993395,0)   (0.023236118843606744,0)   (-0.022995077837826471,0)   (0.021066087641141189,0)   (-0.0082234071677415588,0)   (0.49249546301423364,0)   (-0.14499473889286152,0)   (0.029479118666649092,0)   (-0.005422129303084988,0)   (-0.00720384145019776,0)   (0.011892093300019743,0)   (-0.028664180400962833,0)   (0.044439370967867077,0)   (-0.062835401241320657,0)   (0.050272994507922782,0)   (-0.029826926161233558,0)   
100   0   (0.24584156936628238,0)   (-0.061619349501484552,0)   (0.065063370377657803,0)   (-0.040046639344809572,0)   (0.0067081523910055164,0)   (0.0063180388475007152,0)   (-0.022935433889060313,0)   (0.028855786800046041,0)   (-0.051708466317302498,0)   (0.015300599520169014,0)   (-0.059741078458076552,0)   (0.49168313873255159,0)   (-0.2274437565060288,0)   (0.058155067191415881,0)   (-0.034187718240434518,0)   (0.0066285633636290033,0)   (0.0027314006134401474,0)   (-0.023923859450238998,0)   (0.039370102424589389,0)   (-0.10334777101947384,0)   (0.17674753563127846,0)   (-0.20546760228664493,0)   
200   0   (0.24572469071320749,0)   (-0.090062735609995587,0)   (0.066933028901696043,0)   (-0.043866580895557582,0)   (0.0079757525301449965,0)   (0.005879733140267831,0)   (-0.024864165904910342,0)   (0.031352039353782855,0)   (-0.053804123999557377,0)   (0.024726563864836116,0)   (-0.079012564890677303,0)   (0.49144938142641387,0)   (-0.25045813287557295,0)   (0.063914088270984062,0)   (-0.03928934549532527,0)   (0.0061682367215768882,0)   (0.004459786665492447,0)   (-0.028087743252300495,0)   (0.040102891512828649,0)   (-0.097740451519779198,0)   (0.16563937080963104,0)   (-0.2243467253421825,0)   
500   0   (0.24551325246338224,0)   (-0.14179817471100772,0)   (0.070972932903093047,0)   (-0.05051854729341132,0)   (0.010255661026793038,0)   (0.0051564681943283572,0)   (-0.028380059377554744,0)   (0.035907537340164726,0)   (-0.056439248603527566,0)   (0.044227009913127287,0)   (-0.11313756220234808,0)   (0.49102650492676275,0)   (-0.29220082612676801,0)   (0.074174147999523682,0)   (-0.048342516103587252,0)   (0.0049556160821204575,0)   (0.0079775188735573266,0)   (-0.036292204929327859,0)   (0.041992040610529344,0)   (-0.086027706233399087,0)   (0.14022153822049707,0)   (-0.25567348363142589,0)   
1000   0   (0.24545034493795898,0)   (-0.15719108213475214,0)   (0.072175739977050679,0)   (-0.052497166480546122,0)   (0.010933916023847209,0)   (0.0049414207616775598,0)   (-0.029426146443460272,0)   (0.037262913257397841,0)   (-0.057221321126463574,0)   (0.050032680227331053,0)   (-0.12328874821765669,0)   (0.49090068987591878,0)   (-0.30462037956615357,0)   (0.077226624168934416,0)   (-0.051035912562284423,0)   (0.0045944168381084243,0)   (0.0090245819491845437,0)   (-0.038734082895761975,0)   (0.042554881022962975,0)   (-0.082540810681648452,0)   (0.13265267236148415,0)   (-0.26499124357897896,0)   
10000   0   (0.24544676193531195,0)   (-0.15806781075627466,0)   (0.072244247852782106,0)   (-0.052609862024265659,0)   (0.01097254716428449,0)   (0.0049291723778116534,0)   (-0.029485728070635812,0)   (0.037340110945057264,0)   (-0.057265865366419207,0)   (0.050363351828022873,0)   (-0.12386692588567544,0)   (0.49089352387062557,0)   (-0.30532775587049749,0)   (0.077400483021610816,0)   (-0.051189319433337988,0)   (0.0045738441349141967,0)   (0.009084219166648028,0)   (-0.038873164113201922,0)   (0.042586938534021623,0)   (-0.082342208750971729,0)   (0.13222157502841503,0)   (-0.26552195208043528,0)   
