0   0   (0.21428571428571425,0)   (-3.4694469519536142e-18,0)   (-4.9563527885051632e-18,0)   (-3.4694469519536142e-18,0)   (2.9738116731030977e-18,0)   (2.9738116731030977e-18,0)   (-4.9563527885051629e-19,0)   (0.42857142857142938,0)   (-8.9833894291656086e-18,0)   (7.8372328468237899e-18,0)   (-1.2390881971262908e-18,0)   (2.4781763942525816e-18,0)   (1.3629970168389198e-18,0)   (-6.6600990595538134e-19,0)   
0.5   0   (0.23256140881486567,0)   (0.006764767211752773,0)   (0.0068702367791776504,0)   (0.0075940455103470448,0)   (-0.0013689305053472213,0)   (0.0024184200904842348,0)   (-0.00032518381892958787,0)   (0.46512281762973001,0)   (-0.030413503574213466,0)   (-0.022016751977466338,0)   (0.018309654461151716,0)   (-0.0068695962047621529,0)   (0.001572884231075382,0)   (-0.00035385754157160821,0)   
1   0   (0.23524786082664154,0)   (0.011703276084316783,0)   (0.010172471788822295,0)   (0.012306914631578708,0)   (-0.0050019558339606078,0)   (0.0090090929993535823,0)   (-0.00096603670336727217,0)   (0.47049572165328263,0)   (-0.052982338132785564,0)   (-0.031525930383995981,0)   (0.039105545252406816,0)   (-0.022063349196372786,0)   (0.0048013190193164764,0)   (-0.00083767459077687919,0)   
2   0   (0.23643532954325072,0)   (0.023082340259896503,0)   (0.017907513588455052,0)   (0.01186643840262259,0)   (-0.0058868751617018817,0)   (0.021295309322862225,0)   (0.002301526759524749,0)   (0.47287065908649678,0)   (-0.078195658899428033,0)   (-0.030564367948123505,0)   (0.052320467186722716,0)   (-0.042453008702085578,0)   (0.0087284409196158094,0)   (0.0019022717792376604,0)   
10   0   (0.23654521732758824,0)   (0.039406531436231317,0)   (0.032478277756472648,0)   (0.012679331881049867,0)   (-0.0015527283665223287,0)   (0.053741337641673652,0)   (0.045120314178152862,0)   (0.47309043465517508,0)   (-0.12694880575776313,0)   (-0.0015558573000344583,0)   (0.049346475441098422,0)   (-0.074091553739649804,0)   (0.060666686638736367,0)   (-0.050149440216337077,0)   
100   0   (0.2363453203951999,0)   (-0.00059663407803584154,0)   (0.034143606858629424,0)   (0.0098083516057688343,0)   (-0.0082658440331341045,0)   (0.05916991000804353,0)   (0.018805748864396902,0)   (0.47269064079039963,0)   (-0.16715945127887752,0)   (0.020437408885697651,0)   (0.029377845123232285,0)   (-0.078268200602043772,0)   (0.096946600470044317,0)   (-0.14994540547219495,0)   
200   0   (0.23602387330231259,0)   (-0.059312066360233701,0)   (0.033675568108360442,0)   (0.00066914164549429869,0)   (-0.021216599990518659,0)   (0.05253245441248787,0)   (-0.048442056414347102,0)   (0.47204774660462556,0)   (-0.21704452313883699,0)   (0.034874772921485921,0)   (0.015856432069381012,0)   (-0.082832795357288519,0)   (0.11156469101041248,0)   (-0.2099826374911552,0)   
500   0   (0.23566247328077755,0)   (-0.12698226686733363,0)   (0.032319860297765617,0)   (-0.010006081366083493,0)   (-0.036948121152748967,0)   (0.04320168240122732,0)   (-0.12589313959930468,0)   (0.4713249465615561,0)   (-0.27472426620293666,0)   (0.052267770155855091,0)   (2.5553778986055641e-05,0)   (-0.089601426852966182,0)   (0.13087705114929973,0)   (-0.27937829764188249,0)   
1000   0   (0.23564148335963539,0)   (-0.1310602842643579,0)   (0.032167158649042397,0)   (-0.010661767682297636,0)   (-0.037966225603142119,0)   (0.042493169034127615,0)   (-0.13055597752051362,0)   (0.47128296671927172,0)   (-0.27821646081679441,0)   (0.053381501962696566,0)   (-0.00094998486704716829,0)   (-0.09014048631104038,0)   (0.13225530096001856,0)   (-0.28357792200382453,0)   
10000   0   (0.23564138527418912,0)   (-0.13108035709946284,0)   (0.032165936361447746,0)   (-0.010665077062930049,0)   (-0.037971701424991892,0)   (0.042488712381541616,0)   (-0.13057889842979384,0)   (0.47128277054837897,0)   (-0.27823375771953851,0)   (0.053387418663255359,0)   (-0.00095492932225631102,0)   (-0.090144009105091141,0)   (0.13226350637235765,0)   (-0.28359871024784378,0)   
