0   0   (0.22727272727272724,0)   (2.2551405187698492e-17,0)   (-1.2971000536281126e-17,0)   (2.3655320126956459e-18,0)   (-1.7978043296486909e-17,0)   (-1.4193192076173876e-17,0)   (7.4120003064463572e-18,0)   (-1.9318511437014441e-18,0)   (2.0974383845901396e-17,0)   (1.1039149392579681e-18,0)   (-1.7031830491408652e-17,0)   (0.45454545454545509,0)   (-7.673810490143141e-17,0)   (2.9983118260917315e-17,0)   (-1.2250252501162921e-17,0)   (-1.3601809072999965e-17,0)   (8.4641692329266083e-19,0)   (-7.158814458212527e-18,0)   (-1.286874055864897e-18,0)   (5.528199031752794e-18,0)   (-9.1972377472776024e-19,0)   (1.321987421678348e-18,0)   
0.5   0   (0.24563624292921121,0)   (0.012734247907799806,0)   (0.018345528667168286,0)   (0.0069770113862849372,0)   (-0.0033221048294629668,0)   (0.0042187139471849232,0)   (-0.0016322382734694485,0)   (0.00096112794675603619,0)   (-0.00027027375003740764,0)   (0.00012545103039030174,0)   (-2.8030937460565865e-05,0)   (0.49127248585632871,0)   (-0.028088026812386518,0)   (-0.0096586564765337498,0)   (0.014010188230181722,0)   (-0.011545120333761689,0)   (0.0039286505773030982,0)   (-0.00064320962103448843,0)   (-8.6336626132091136e-06,0)   (2.2545960487793011e-05,0)   (-6.1349670819999995e-06,0)   (1.3953959211923768e-06,0)   
1   0   (0.24621905327481589,0)   (0.027081381918116199,0)   (0.037865478414836472,0)   (0.0079235975586693166,0)   (-0.0028250181020605192,0)   (0.0077268906946209893,0)   (-0.0040293032742650496,0)   (0.0033319720413506468,0)   (-0.00093726070446370176,0)   (0.00068716946202914059,0)   (-9.1311406571184563e-05,0)   (0.49243810654729991,0)   (-0.045967705047160745,0)   (-0.008529048226891555,0)   (0.016350551366262952,0)   (-0.015781462150109907,0)   (0.0076908333447823583,0)   (-0.0017839606929356598,0)   (-0.00082296997421394433,0)   (0.0006090397844243057,0)   (-0.00014583637269364972,0)   (1.5440124834373271e-05,0)   
2   0   (0.24641053109145583,0)   (0.045672270533285195,0)   (0.063674425756666181,0)   (0.0061335197414999695,0)   (-0.0013509413102686314,0)   (0.010703092073979842,0)   (-0.0089104433929703634,0)   (0.01004945433804541,0)   (-0.0038592437813454077,0)   (0.0039779594922767321,0)   (-0.00052780062726543483,0)   (0.49282106218200333,0)   (-0.072098461930281674,0)   (-0.0037221727700408182,0)   (0.018345748007280286,0)   (-0.018941980035256465,0)   (0.013138315632700506,0)   (-0.0097752738645042071,0)   (0.0033031405631395679,0)   (-1.289789429591408e-05,0)   (-0.00057886312763806601,0)   (0.00017314168332395414,0)   
10   0   (0.24631034985611261,0)   (0.042745762533244684,0)   (0.083089887889829628,0)   (-0.014896420106321983,0)   (0.00080453363593145459,0)   (0.010464675588112893,0)   (-0.017408537171529539,0)   (0.02263853067941074,0)   (-0.017611917097433965,0)   (0.020953495323624574,0)   (-0.0015171030276078239,0)   (0.49262069971208616,0)   (-0.13187586040231422,0)   (0.026498325304807339,0)   (-0.0026987193409367324,0)   (-0.0078387097587520483,0)   (0.01211955043431754,0)   (-0.029065300114474751,0)   (0.045479976871208125,0)   (-0.057419277734049541,0)   (0.040139910035717472,0)   (-0.020472773924267773,0)   
100   0   (0.24618957491302509,0)   (0.020442277985677791,0)   (0.069270949890571171,0)   (-0.02807299119414542,0)   (0.0036067686772636317,0)   (0.0076065645538837814,0)   (-0.017679344849239935,0)   (0.022600961576635187,0)   (-0.040222560285361218,0)   (0.004135452577271919,0)   (-0.011005961779464337,0)   (0.49237914982604297,0)   (-0.15995832610064739,0)   (0.040957089077419039,0)   (-0.019060292920111199,0)   (0.0065333784722788587,0)   (-0.00095724437573245383,0)   (-0.015196227882300357,0)   (0.041411032653090818,0)   (-0.11034339519496,0)   (0.18114581051775461,0)   (-0.14941900270187314,0)   
200   0   (0.24618853778400296,0)   (0.022317711200068396,0)   (0.066228820358118987,0)   (-0.031657026826990398,0)   (0.0044684281459051829,0)   (0.0065242392743861642,0)   (-0.017508621439296334,0)   (0.022857404165726809,0)   (-0.05187251545775063,0)   (-0.015453331374287411,0)   (-0.024887474005748759,0)   (0.49237707556799898,0)   (-0.15980945169803271,0)   (0.041313617845606311,0)   (-0.019345252793703981,0)   (0.008161253722702707,0)   (-0.0030069460231118093,0)   (-0.010950057337958462,0)   (0.037455084804581575,0)   (-0.1203552306677394,0)   (0.20988745922644264,0)   (-0.16019558998228597,0)   
500   0   (0.24620574922760577,0)   (0.027163069206723386,0)   (0.065427174835238411,0)   (-0.032040392095600091,0)   (0.004524402962137632,0)   (0.0062956326389152599,0)   (-0.017181148591522855,0)   (0.022576321660419348,0)   (-0.054667465014361975,0)   (-0.021851109685212623,0)   (-0.025916283373419727,0)   (0.49241149845520998,0)   (-0.15632162198360006,0)   (0.040469711235672341,0)   (-0.018550760922837778,0)   (0.0085278672329441793,0)   (-0.0036992292559918302,0)   (-0.0093588764363444037,0)   (0.036459206610948015,0)   (-0.12362905958621895,0)   (0.21773738496758768,0)   (-0.15881812967864165,0)   
1000   0   (0.24620660664536861,0)   (0.027380799471354751,0)   (0.06541693234606788,0)   (-0.032019041998496339,0)   (0.0045169632074693166,0)   (0.0062966724785417918,0)   (-0.017166681582072733,0)   (0.02255881162272029,0)   (-0.054676687897882902,0)   (-0.021953883831902526,0)   (-0.025804904519454663,0)   (0.49241321329073717,0)   (-0.15615201319189834,0)   (0.040426918089263651,0)   (-0.018511779367710486,0)   (0.0085320905375461265,0)   (-0.0037145142289292088,0)   (-0.0093223798838167997,0)   (0.03645051513360939,0)   (-0.12369014249877515,0)   (0.21785312055134953,0)   (-0.15867317811301279,0)   
10000   0   (0.24620660900410338,0)   (0.027381392776781005,0)   (0.065416911196716179,0)   (-0.032018973552857148,0)   (0.0045169402740974736,0)   (0.0062966783261125328,0)   (-0.017166642221138308,0)   (0.02255876259396037,0)   (-0.054676682104046428,0)   (-0.021954114876273644,0)   (-0.025804558940368,0)   (0.4924132180082072,0)   (-0.15615154759965863,0)   (0.040426800240768362,0)   (-0.018511672340886142,0)   (0.0085320988763660996,0)   (-0.0037145517542705561,0)   (-0.0093222896306835862,0)   (0.036450500964257726,0)   (-0.12369028629956143,0)   (0.21785337390496737,0)   (-0.15867276192384888,0)   
