0   0   (0.20000000000000001,0)   (2.7755575615628915e-18,0)   (0,0)   (8.3266726846886737e-18,0)   (8.3266726846886737e-18,0)   (0.3999999999999998,0)   (2.4286128663675298e-18,0)   (6.5919492087118667e-18,0)   (9.3675067702747589e-18,0)   (3.1225022567582528e-18,0)   
0.5   0   (0.21455968122760341,0)   (-0.001902972008672261,0)   (-0.002608102074899725,0)   (0.0062040836274429656,0)   (-0.0010175274036652914,0)   (0.42911936245520715,0)   (-0.036100996749609454,0)   (-0.030404802205291338,0)   (0.017264733976218919,0)   (-0.0052644649094654196,0)   
1   0   (0.21753013658438389,0)   (-0.017701502281097362,0)   (-0.019097338516986476,0)   (0.014487513542434939,0)   (-0.0065828749571133615,0)   (0.43506027316876839,0)   (-0.08026475015961991,0)   (-0.062515730741563857,0)   (0.057039497305618053,0)   (-0.025086218255482157,0)   
2   0   (0.21905904816062252,0)   (-0.03060053767805089,0)   (-0.029867282506800655,0)   (0.020752784159713239,0)   (-0.0083324299771138019,0)   (0.43811809632124488,0)   (-0.11945253448680657,0)   (-0.076009726514150708,0)   (0.095034041688164886,0)   (-0.06143998864285443,0)   
10   0   (0.21843412006249893,0)   (-0.089939478810019804,0)   (-0.015852403584562743,0)   (0.019502946346436598,0)   (-0.05971279680743944,0)   (0.43686824012499786,0)   (-0.2264245172826615,0)   (-0.038524343303010557,0)   (0.094654414311230534,0)   (-0.18510489152037948,0)   
100   0   (0.2180415212032227,0)   (-0.12992474562857487,0)   (-0.006274203985827986,0)   (0.021206038596860897,0)   (-0.10304860873083341,0)   (0.43608304240644524,0)   (-0.27017817589191523,0)   (-0.017218023469687007,0)   (0.083457778454377476,0)   (-0.22968449757460196,0)   
200   0   (0.21804152119566406,0)   (-0.12992474643069743,0)   (-0.0062742037948308209,0)   (0.021206038634286682,0)   (-0.10304860960442243,0)   (0.436083042391328,0)   (-0.27017817674998146,0)   (-0.017218023047595871,0)   (0.083457778227774448,0)   (-0.22968449844179178,0)   
500   0   (0.21804152119566406,0)   (-0.12992474643069743,0)   (-0.0062742037948308209,0)   (0.021206038634286682,0)   (-0.10304860960442243,0)   (0.436083042391328,0)   (-0.27017817674998146,0)   (-0.017218023047595871,0)   (0.083457778227774448,0)   (-0.22968449844179178,0)   
1000   0   (0.21804152119566406,0)   (-0.12992474643069743,0)   (-0.0062742037948308209,0)   (0.021206038634286682,0)   (-0.10304860960442243,0)   (0.436083042391328,0)   (-0.27017817674998146,0)   (-0.017218023047595871,0)   (0.083457778227774448,0)   (-0.22968449844179178,0)   
10000   0   (0.21804152119566406,0)   (-0.12992474643069743,0)   (-0.0062742037948308209,0)   (0.021206038634286682,0)   (-0.10304860960442243,0)   (0.436083042391328,0)   (-0.27017817674998146,0)   (-0.017218023047595871,0)   (0.083457778227774448,0)   (-0.22968449844179178,0)   
