0   0   (0.20833333333333334,0)   (-9.2518585385429707e-18,0)   (0,0)   (4.6259292692714853e-18,0)   (-4.6259292692714853e-18,0)   (8.0953762212251003e-18,0)   (0.41666666666666635,0)   (-3.2526065174565133e-18,0)   (1.8070036208091742e-18,0)   (-2.9634859381270453e-18,0)   (-8.0953762212251003e-18,0)   (3.5417270967859809e-18,0)   
0.5   0   (0.22410645944878374,0)   (0.0082458661541410013,0)   (0.0072388777917817664,0)   (0.0059989819593812372,0)   (0.00046475849277313855,0)   (0.0017153130332467033,0)   (0.44821291889756742,0)   (-0.024395346011784461,0)   (-0.019788185611373108,0)   (0.012531254417023067,0)   (-0.0032792546231800411,0)   (0.00070636486693604326,0)   
1   0   (0.22755650658457929,0)   (0.0069508476503869869,0)   (0.0047359718058292847,0)   (0.012939179509626966,0)   (-0.0016928512216204067,0)   (0.0085512677680468271,0)   (0.45511301316915953,0)   (-0.053049295583431112,0)   (-0.038056208120991981,0)   (0.040500156864957212,0)   (-0.015940067947703977,0)   (0.0039771705227324618,0)   
2   0   (0.22950245276571637,0)   (0.0094940034482066376,0)   (0.0027327284874139883,0)   (0.015551116205897214,0)   (-0.00044812433388176836,0)   (0.024350285480975682,0)   (0.45900490553143225,0)   (-0.080003657338773237,0)   (-0.04779562867038107,0)   (0.069278344436281142,0)   (-0.040358128580386031,0)   (0.0067217925299848987,0)   
10   0   (0.22988200310407708,0)   (0.03326625662234,0)   (0.018507197957734308,0)   (0.0099311103091266045,0)   (0.024723588516192635,0)   (0.091704759583797923,0)   (0.45976400620815472,0)   (-0.10874013174556334,0)   (-0.034580839527370344,0)   (0.091558913294916944,0)   (-0.079091849913536114,0)   (0.041397793022957111,0)   
100   0   (0.22932200521339263,0)   (0.097254311987890169,0)   (0.035049310137847393,0)   (0.0068100946288494882,0)   (0.077989449568150349,0)   (0.14974739988110128,0)   (0.45864401042678604,0)   (-0.05638983426792403,0)   (-0.064899634185529173,0)   (0.10906760075214393,0)   (-0.020844105844219002,0)   (-0.029461134208130471,0)   
200   0   (0.2293102613593217,0)   (0.098734101000217261,0)   (0.035383654265145552,0)   (0.0067440051151910121,0)   (0.079212331500422464,0)   (0.15095081635923691,0)   (0.45862052271864429,0)   (-0.055117154257023307,0)   (-0.065688308393125228,0)   (0.10947535721311814,0)   (-0.019411917217533235,0)   (-0.031356241169802172,0)   
500   0   (0.22931015429628987,0)   (0.098747591520207609,0)   (0.035386702318682489,0)   (0.0067434026090920111,0)   (0.079223479922944678,0)   (0.15096178732463789,0)   (0.45862030859258063,0)   (-0.055105551849527763,0)   (-0.065695498354041856,0)   (0.1094790745313589,0)   (-0.019398860647213165,0)   (-0.031373517942461925,0)   
1000   0   (0.22931015429621296,0)   (0.098747591529895221,0)   (0.035386702320871315,0)   (0.0067434026086593468,0)   (0.079223479930950413,0)   (0.1509617873325162,0)   (0.45862030859242686,0)   (-0.055105551841196011,0)   (-0.06569549835920499,0)   (0.10947907453402829,0)   (-0.019398860637837197,0)   (-0.031373517954868459,0)   
10000   0   (0.22931015429621296,0)   (0.098747591529895207,0)   (0.035386702320871322,0)   (0.0067434026086593477,0)   (0.079223479930950413,0)   (0.1509617873325162,0)   (0.45862030859242681,0)   (-0.055105551841196011,0)   (-0.06569549835920499,0)   (0.1094790745340283,0)   (-0.019398860637837193,0)   (-0.031373517954868459,0)   
