0   0   (0.22727272727272743,0)   (1.5454809149611553e-17,0)   (1.0211213188136206e-17,0)   (1.1039149392579681e-18,0)   (4.1002554886724533e-18,0)   (-1.1354553660939102e-17,0)   (-1.7347234759768071e-18,0)   (-2.0816681711721685e-17,0)   (-1.4666298478713006e-17,0)   (-2.0343575309182555e-17,0)   (-7.6879790412608493e-18,0)   (0.45454545454544842,0)   (1.3235428821814878e-16,0)   (-1.0634514053376782e-16,0)   (1.5425239999452859e-17,0)   (-3.5906804676042661e-17,0)   (-9.7547394325613422e-18,0)   (1.012034965379438e-17,0)   (1.1143873466058396e-18,0)   (5.8220424614548306e-18,0)   (-3.8412174128030472e-18,0)   (-7.2660026275377986e-19,0)   
0.5   0   (0.2449228475900781,0)   (0.016618952626789443,0)   (0.019329836036098339,0)   (0.0081008629298903682,0)   (-0.001601584519760839,0)   (0.0035081758551061652,0)   (-0.00099674146072937478,0)   (0.00076525837597914148,0)   (-0.00016544376538305119,0)   (0.00011304642658891029,0)   (-1.6934927896321391e-05,0)   (0.48984569517874199,0)   (-0.022354527538153483,0)   (-0.01043647808099997,0)   (0.013607797167311459,0)   (-0.008988732199774873,0)   (0.002756309255633744,0)   (-0.0006581759876230454,0)   (0.00016110275454909182,0)   (-4.2825482368999674e-05,0)   (9.5975797503973608e-06,0)   (-2.2575321300762015e-06,0)   
1   0   (0.24596778428013985,0)   (0.038535072291228718,0)   (0.043131889435423849,0)   (0.013570281078222772,0)   (0.00041627869877200647,0)   (0.0073926949390850849,0)   (-0.0020758653947595749,0)   (0.0026834339110759615,0)   (-0.0002992134463937831,0)   (0.0006334469059303524,0)   (3.3846617416327849e-05,0)   (0.4919355685576231,0)   (-0.033604108013658762,0)   (-0.0092467334773977741,0)   (0.015400412418119711,0)   (-0.013613345894831182,0)   (0.0049752855007217482,0)   (-0.00028913749830662363,0)   (-0.00053864969353888635,0)   (0.00021224166231655599,0)   (-3.9466421854371881e-05,0)   (6.3792803117747619e-06,0)   
2   0   (0.2463633577512836,0)   (0.074924328322492795,0)   (0.080774369123349746,0)   (0.025064342279394972,0)   (0.0053900046304208374,0)   (0.012105137543179408,0)   (-0.003582373909109279,0)   (0.0080778578422115721,0)   (0.00033971501549023852,0)   (0.0035829783065332308,0)   (0.0012424814774694825,0)   (0.49272671550137198,0)   (-0.049981445156449422,0)   (-0.0068216817980876355,0)   (0.018277899903827416,0)   (-0.017350352501519409,0)   (0.0094775074437516236,0)   (-0.0030185593222951321,0)   (-0.0011413438158811905,0)   (0.0010094267308460327,0)   (-0.00019637913328254394,0)   (-2.2616411423765799e-05,0)   
10   0   (0.24665622957914859,0)   (0.13914536026036536,0)   (0.14322801760027146,0)   (0.048807663482296516,0)   (-0.00041261701299159478,0)   (0.017720977920045941,0)   (-0.010120488396983479,0)   (0.023633493683695345,0)   (0.044470459842486057,0)   (0.052687854802391007,0)   (0.062280992053468071,0)   (0.49331245915814498,0)   (-0.06844465268136149,0)   (0.011475344360099515,0)   (0.0066864260360681663,0)   (-0.012510880891429038,0)   (0.016703050162747108,0)   (-0.033106982127952135,0)   (0.026924868602130652,0)   (-0.0069163762662607054,0)   (-0.0031165762620451922,0)   (0.0029463641827425311,0)   
100   0   (0.24746393768056932,0)   (0.22115948708492084,0)   (0.17572609047905638,0)   (0.066189386318873764,0)   (0.0036711486062273517,0)   (0.026471593958448537,0)   (0.002428157891948324,0)   (0.062240677411945021,0)   (0.16975698123987407,0)   (0.21898057774522395,0)   (0.23437250134116289,0)   (0.49492787536113336,0)   (-0.011106906468472604,0)   (-0.0055600561419598977,0)   (0.017678501381128447,0)   (-0.013397043512512434,0)   (0.0097957514612375812,0)   (-0.0056030155711598185,0)   (-0.0051478558348708285,0)   (0.0042936612155176973,0)   (0.00036871922973202777,0)   (-0.0007372160844589411,0)   
200   0   (0.24756701911279452,0)   (0.23059441735680208,0)   (0.17896672414357886,0)   (0.066487001898362638,0)   (0.0047942974878825541,0)   (0.026660441254597406,0)   (0.0043045351375466962,0)   (0.065849635823307509,0)   (0.17709659905747036,0)   (0.22950481523565538,0)   (0.24178209104407405,0)   (0.49513403822558555,0)   (-0.0038210196430729327,0)   (-0.0083676192174243821,0)   (0.019977515464389001,0)   (-0.014303720669877854,0)   (0.0093491722002783748,0)   (-0.0011499585432648597,0)   (-0.011856948925720789,0)   (0.0086025352474457563,0)   (-0.0012412624006106221,0)   (-0.0007702644026568806,0)   
500   0   (0.24757460087435237,0)   (0.23128984957678778,0)   (0.17921205910818117,0)   (0.066514004251207792,0)   (0.0048781651870269116,0)   (0.026674861246360752,0)   (0.0044429605171161816,0)   (0.066118287589356395,0)   (0.17764082938630033,0)   (0.23027957970783075,0)   (0.24232193718774822,0)   (0.49514920174870103,0)   (-0.0032862320860942312,0)   (-0.0085758473595531001,0)   (0.020149488287749928,0)   (-0.014375170554813891,0)   (0.0093211446067080015,0)   (-0.00082301551719805735,0)   (-0.012365949493345912,0)   (0.0089453847793940569,0)   (-0.001380104959614926,0)   (-0.00076699881692809989,0)   
1000   0   (0.24757460324433353,0)   (0.23129006698288562,0)   (0.17921213589626381,0)   (0.066514012764545466,0)   (0.0048781914209933466,0)   (0.026674865761522469,0)   (0.0044430037933852898,0)   (0.066118371612721605,0)   (0.1776409995705977,0)   (0.23027982190283924,0)   (0.24232210586753125,0)   (0.49514920648866295,0)   (-0.0032860649324509242,0)   (-0.0085759124739871115,0)   (0.020149542085358858,0)   (-0.014375192956675007,0)   (0.009321135913737618,0)   (-0.0008229133264530665,0)   (-0.012366108821498538,0)   (0.008945492317338365,0)   (-0.001380148649243322,0)   (-0.00076699771558323704,0)   
10000   0   (0.24757460324433692,0)   (0.2312900669831974,0)   (0.17921213589637394,0)   (0.066514012764557665,0)   (0.0048781914210309666,0)   (0.026674865761528947,0)   (0.0044430037934473487,0)   (0.066118371612842092,0)   (0.17764099957084178,0)   (0.23027982190318658,0)   (0.24232210586777317,0)   (0.49514920648867061,0)   (-0.0032860649322112279,0)   (-0.0085759124740804864,0)   (0.020149542085435995,0)   (-0.014375192956707127,0)   (0.0093211359137251506,0)   (-0.00082291332630651912,0)   (-0.01236610882172702,0)   (0.0089454923174925784,0)   (-0.00138014864930598,0)   (-0.00076699771558166885,0)   
