0   0   (0.20833333333333329,0)   (-3.4694469519536142e-18,0)   (-8.0953762212251003e-18,0)   (6.3606527452482924e-18,0)   (-3.4694469519536142e-18,0)   (6.9388939039072284e-18,0)   (0.41666666666666652,0)   (-4.6259292692714853e-18,0)   (-3.6862873864507151e-18,0)   (2.3852447794681098e-18,0)   (3.6140072416183484e-18,0)   (-1.0083080204115191e-17,0)   
0.5   0   (0.21835719321899749,0)   (0.01855273881024504,0)   (0.017098539525979277,0)   (0.0044318374795403485,0)   (0.002352599381131464,0)   (0.00083891423071737106,0)   (0.43671438643799554,0)   (-0.00783341480947327,0)   (-0.007129370846391544,0)   (0.0023362103172573229,0)   (-0.00036883582284538165,0)   (4.7593812421405069e-05,0)   
1   0   (0.22338833726807852,0)   (0.031431905042227204,0)   (0.027390251358234093,0)   (0.012031817823116636,0)   (0.0064152406250039462,0)   (0.0047742885817741,0)   (0.44677667453615694,0)   (-0.023868298798810379,0)   (-0.019445288511543896,0)   (0.012782386323980609,0)   (-0.0032799664031857908,0)   (0.00070498291659442964,0)   
2   0   (0.22506557579243436,0)   (0.046799684271554003,0)   (0.03685319140845341,0)   (0.020657068104307782,0)   (0.012635735249277262,0)   (0.017009374339029951,0)   (0.45013115158486922,0)   (-0.049443587399564955,0)   (-0.037847843271789916,0)   (0.039162140512128803,0)   (-0.013418744956351071,0)   (0.0026201899516023839,0)   
10   0   (0.22610230612578691,0)   (0.081028592785019282,0)   (0.046337281057895266,0)   (0.012263456136970941,0)   (0.048367951262744145,0)   (0.09723720007889948,0)   (0.4522046122515736,0)   (-0.071265088376268007,0)   (-0.074267868892321509,0)   (0.11253326248781316,0)   (-0.025304847889407799,0)   (-0.037818123796681188,0)   
100   0   (0.22620987809433449,0)   (0.087096216718876837,0)   (0.048116410733966268,0)   (0.011688306173107961,0)   (0.056423473168221515,0)   (0.11243657234185875,0)   (0.45241975618866848,0)   (-0.066710699889580019,0)   (-0.079179604311361854,0)   (0.1220942819005832,0)   (-0.020230751175430033,0)   (-0.052570520272950227,0)   
200   0   (0.22620987809433452,0)   (0.087096216718880903,0)   (0.04811641073396717,0)   (0.011688306173107956,0)   (0.056423473168226344,0)   (0.11243657234186634,0)   (0.45241975618866881,0)   (-0.066710699889575967,0)   (-0.079179604311365628,0)   (0.12209428190058841,0)   (-0.020230751175425138,0)   (-0.052570520272963321,0)   
500   0   (0.22620987809433452,0)   (0.087096216718880903,0)   (0.04811641073396717,0)   (0.011688306173107956,0)   (0.056423473168226344,0)   (0.11243657234186635,0)   (0.45241975618866886,0)   (-0.066710699889575967,0)   (-0.079179604311365642,0)   (0.12209428190058841,0)   (-0.020230751175425138,0)   (-0.052570520272963321,0)   
1000   0   (0.22620987809433452,0)   (0.087096216718880903,0)   (0.048116410733967163,0)   (0.011688306173107956,0)   (0.056423473168226344,0)   (0.11243657234186635,0)   (0.45241975618866886,0)   (-0.066710699889575981,0)   (-0.079179604311365628,0)   (0.12209428190058841,0)   (-0.020230751175425134,0)   (-0.052570520272963328,0)   
10000   0   (0.22620987809433452,0)   (0.087096216718880889,0)   (0.048116410733967163,0)   (0.011688306173107956,0)   (0.056423473168226337,0)   (0.11243657234186634,0)   (0.45241975618866886,0)   (-0.066710699889575981,0)   (-0.079179604311365642,0)   (0.12209428190058841,0)   (-0.020230751175425134,0)   (-0.052570520272963328,0)   
